"Time (CET/CEST)","Denmark (DK) > Germany (DE) [MW]","Germany (DE) > Denmark (DK) [MW]"
"01.01.2017 00:00 - 01.01.2017 01:00","0","51"
"01.01.2017 01:00 - 01.01.2017 02:00","0","80"
"01.01.2017 02:00 - 01.01.2017 03:00","0","109"
"01.01.2017 03:00 - 01.01.2017 04:00","0","101"
"01.01.2017 04:00 - 01.01.2017 05:00","0","197"
"01.01.2017 05:00 - 01.01.2017 06:00","0","526"
"01.01.2017 06:00 - 01.01.2017 07:00","0","743"
"01.01.2017 07:00 - 01.01.2017 08:00","0","1249"
"01.01.2017 08:00 - 01.01.2017 09:00","0","1369"
"01.01.2017 09:00 - 01.01.2017 10:00","0","904"
"01.01.2017 10:00 - 01.01.2017 11:00","0","783"
"01.01.2017 11:00 - 01.01.2017 12:00","0","767"
"01.01.2017 12:00 - 01.01.2017 13:00","0","324"
"01.01.2017 13:00 - 01.01.2017 14:00","225","0"
"01.01.2017 14:00 - 01.01.2017 15:00","590","0"
"01.01.2017 15:00 - 01.01.2017 16:00","594","0"
"01.01.2017 16:00 - 01.01.2017 17:00","596","0"
"01.01.2017 17:00 - 01.01.2017 18:00","594","0"
"01.01.2017 18:00 - 01.01.2017 19:00","595","0"
"01.01.2017 19:00 - 01.01.2017 20:00","579","0"
"01.01.2017 20:00 - 01.01.2017 21:00","597","0"
"01.01.2017 21:00 - 01.01.2017 22:00","600","0"
"01.01.2017 22:00 - 01.01.2017 23:00","592","0"
"01.01.2017 23:00 - 02.01.2017 00:00","627","0"
"02.01.2017 00:00 - 02.01.2017 01:00","605","0"
"02.01.2017 01:00 - 02.01.2017 02:00","396","0"
"02.01.2017 02:00 - 02.01.2017 03:00","183","0"
"02.01.2017 03:00 - 02.01.2017 04:00","0","12"
"02.01.2017 04:00 - 02.01.2017 05:00","0","187"
"02.01.2017 05:00 - 02.01.2017 06:00","542","0"
"02.01.2017 06:00 - 02.01.2017 07:00","663","0"
"02.01.2017 07:00 - 02.01.2017 08:00","635","0"
"02.01.2017 08:00 - 02.01.2017 09:00","602","0"
"02.01.2017 09:00 - 02.01.2017 10:00","588","0"
"02.01.2017 10:00 - 02.01.2017 11:00","625","0"
"02.01.2017 11:00 - 02.01.2017 12:00","615","0"
"02.01.2017 12:00 - 02.01.2017 13:00","584","0"
"02.01.2017 13:00 - 02.01.2017 14:00","596","0"
"02.01.2017 14:00 - 02.01.2017 15:00","601","0"
"02.01.2017 15:00 - 02.01.2017 16:00","591","0"
"02.01.2017 16:00 - 02.01.2017 17:00","596","0"
"02.01.2017 17:00 - 02.01.2017 18:00","590","0"
"02.01.2017 18:00 - 02.01.2017 19:00","595","0"
"02.01.2017 19:00 - 02.01.2017 20:00","231","0"
"02.01.2017 20:00 - 02.01.2017 21:00","188","0"
"02.01.2017 21:00 - 02.01.2017 22:00","152","0"
"02.01.2017 22:00 - 02.01.2017 23:00","187","0"
"02.01.2017 23:00 - 03.01.2017 00:00","196","0"
"03.01.2017 00:00 - 03.01.2017 01:00","189","0"
"03.01.2017 01:00 - 03.01.2017 02:00","201","0"
"03.01.2017 02:00 - 03.01.2017 03:00","96","0"
"03.01.2017 03:00 - 03.01.2017 04:00","196","0"
"03.01.2017 04:00 - 03.01.2017 05:00","190","0"
"03.01.2017 05:00 - 03.01.2017 06:00","312","0"
"03.01.2017 06:00 - 03.01.2017 07:00","262","0"
"03.01.2017 07:00 - 03.01.2017 08:00","263","0"
"03.01.2017 08:00 - 03.01.2017 09:00","77","0"
"03.01.2017 09:00 - 03.01.2017 10:00","97","0"
"03.01.2017 10:00 - 03.01.2017 11:00","100","0"
"03.01.2017 11:00 - 03.01.2017 12:00","247","0"
"03.01.2017 12:00 - 03.01.2017 13:00","188","0"
"03.01.2017 13:00 - 03.01.2017 14:00","182","0"
"03.01.2017 14:00 - 03.01.2017 15:00","0","191"
"03.01.2017 15:00 - 03.01.2017 16:00","0","59"
"03.01.2017 16:00 - 03.01.2017 17:00","0","208"
"03.01.2017 17:00 - 03.01.2017 18:00","0","203"
"03.01.2017 18:00 - 03.01.2017 19:00","0","192"
"03.01.2017 19:00 - 03.01.2017 20:00","0","216"
"03.01.2017 20:00 - 03.01.2017 21:00","0","237"
"03.01.2017 21:00 - 03.01.2017 22:00","0","893"
