"Time (CET/CEST)","Netherlands (NL) > Germany (DE) [MW]","Germany (DE) > Netherlands (NL) [MW]"
"01.01.2017 00:00 - 01.01.2017 01:00","0","2331"
"01.01.2017 01:00 - 01.01.2017 02:00","0","2347"
"01.01.2017 02:00 - 01.01.2017 03:00","0","2001"
"01.01.2017 03:00 - 01.01.2017 04:00","0","1763"
"01.01.2017 04:00 - 01.01.2017 05:00","0","1679"
"01.01.2017 05:00 - 01.01.2017 06:00","0","1840"
"01.01.2017 06:00 - 01.01.2017 07:00","0","2137"
"01.01.2017 07:00 - 01.01.2017 08:00","0","2191"
"01.01.2017 08:00 - 01.01.2017 09:00","0","2165"
"01.01.2017 09:00 - 01.01.2017 10:00","0","1700"
"01.01.2017 10:00 - 01.01.2017 11:00","0","1570"
"01.01.2017 11:00 - 01.01.2017 12:00","0","1782"
"01.01.2017 12:00 - 01.01.2017 13:00","0","2045"
"01.01.2017 13:00 - 01.01.2017 14:00","0","2152"
"01.01.2017 14:00 - 01.01.2017 15:00","0","2250"
"01.01.2017 15:00 - 01.01.2017 16:00","0","1832"
"01.01.2017 16:00 - 01.01.2017 17:00","0","1446"
"01.01.2017 17:00 - 01.01.2017 18:00","0","1445"
"01.01.2017 18:00 - 01.01.2017 19:00","0","1736"
"01.01.2017 19:00 - 01.01.2017 20:00","0","1988"
"01.01.2017 20:00 - 01.01.2017 21:00","0","1868"
"01.01.2017 21:00 - 01.01.2017 22:00","0","1815"
"01.01.2017 22:00 - 01.01.2017 23:00","0","1864"
"01.01.2017 23:00 - 02.01.2017 00:00","0","1573"
"02.01.2017 00:00 - 02.01.2017 01:00","0","1480"
"02.01.2017 01:00 - 02.01.2017 02:00","0","1579"
"02.01.2017 02:00 - 02.01.2017 03:00","0","1668"
"02.01.2017 03:00 - 02.01.2017 04:00","0","1514"
"02.01.2017 04:00 - 02.01.2017 05:00","0","1399"
"02.01.2017 05:00 - 02.01.2017 06:00","0","1477"
"02.01.2017 06:00 - 02.01.2017 07:00","0","618"
"02.01.2017 07:00 - 02.01.2017 08:00","0","323"
"02.01.2017 08:00 - 02.01.2017 09:00","0","852"
"02.01.2017 09:00 - 02.01.2017 10:00","0","1097"
"02.01.2017 10:00 - 02.01.2017 11:00","0","1391"
"02.01.2017 11:00 - 02.01.2017 12:00","0","1266"
"02.01.2017 12:00 - 02.01.2017 13:00","0","1357"
"02.01.2017 13:00 - 02.01.2017 14:00","0","1369"
"02.01.2017 14:00 - 02.01.2017 15:00","0","1529"
"02.01.2017 15:00 - 02.01.2017 16:00","0","1461"
"02.01.2017 16:00 - 02.01.2017 17:00","0","1521"
"02.01.2017 17:00 - 02.01.2017 18:00","0","1680"
"02.01.2017 18:00 - 02.01.2017 19:00","0","2031"
"02.01.2017 19:00 - 02.01.2017 20:00","0","1916"
"02.01.2017 20:00 - 02.01.2017 21:00","0","1925"
"02.01.2017 21:00 - 02.01.2017 22:00","0","2205"
"02.01.2017 22:00 - 02.01.2017 23:00","0","1925"
"02.01.2017 23:00 - 03.01.2017 00:00","0","1831"
"03.01.2017 00:00 - 03.01.2017 01:00","0","1927"
"03.01.2017 01:00 - 03.01.2017 02:00","0","1982"
"03.01.2017 02:00 - 03.01.2017 03:00","0","1793"
"03.01.2017 03:00 - 03.01.2017 04:00","0","2014"
"03.01.2017 04:00 - 03.01.2017 05:00","0","1604"
"03.01.2017 05:00 - 03.01.2017 06:00","0","1200"
"03.01.2017 06:00 - 03.01.2017 07:00","0","978"
"03.01.2017 07:00 - 03.01.2017 08:00","0","1186"
"03.01.2017 08:00 - 03.01.2017 09:00","0","1517"
"03.01.2017 09:00 - 03.01.2017 10:00","0","2241"
"03.01.2017 10:00 - 03.01.2017 11:00","0","2205"
"03.01.2017 11:00 - 03.01.2017 12:00","0","2280"
"03.01.2017 12:00 - 03.01.2017 13:00","0","2198"
"03.01.2017 13:00 - 03.01.2017 14:00","0","2199"
"03.01.2017 14:00 - 03.01.2017 15:00","0","1967"
"03.01.2017 15:00 - 03.01.2017 16:00","0","1973"
"03.01.2017 16:00 - 03.01.2017 17:00","0","1485"
"03.01.2017 17:00 - 03.01.2017 18:00","0","1875"
"03.01.2017 18:00 - 03.01.2017 19:00","0","1974"
"03.01.2017 19:00 - 03.01.2017 20:00","0","2143"
"03.01.2017 20:00 - 03.01.2017 21:00","0","1996"
"03.01.2017 21:00 - 03.01.2017 22:00","0","1754"
"03.01.2017 22:00 - 03.01.2017 23:00","0","1740"
"03.01.2017 23:00 - 04.01.2017 00:00","0","1773"
"04.01.2017 00:00 - 04.01.2017 01:00","0","1635"
"04.01.2017 01:00 - 04.01.2017 02:00","0","1467"
"04.01.2017 02:00 - 04.01.2017 03:00","0","1186"
"04.01.2017 03:00 - 04.01.2017 04:00","0","948"
"04.01.2017 04:00 - 04.01.2017 05:00","0","1316"
"04.01.2017 05:00 - 04.01.2017 06:00","0","1521"
"04.01.2017 06:00 - 04.01.2017 07:00","0","1183"
"04.01.2017 07:00 - 04.01.2017 08:00","0","1148"
"04.01.2017 08:00 - 04.01.2017 09:00","0","1801"
"04.01.2017 09:00 - 04.01.2017 10:00","0","1706"
"04.01.2017 10:00 - 04.01.2017 11:00","0","1821"
"04.01.2017 11:00 - 04.01.2017 12:00","0","1957"
"04.01.2017 12:00 - 04.01.2017 13:00","0","2040"
"04.01.2017 13:00 - 04.01.2017 14:00","0","1902"
"04.01.2017 14:00 - 04.01.2017 15:00","0","1949"
"04.01.2017 15:00 - 04.01.2017 16:00","0","2028"
"04.01.2017 16:00 - 04.01.2017 17:00","0","1778"
"04.01.2017 17:00 - 04.01.2017 18:00","0","2208"
"04.01.2017 18:00 - 04.01.2017 19:00","0","2333"
"04.01.2017 19:00 - 04.01.2017 20:00","0","1769"
"04.01.2017 20:00 - 04.01.2017 21:00","0","2178"
"04.01.2017 21:00 - 04.01.2017 22:00","0","2094"
"04.01.2017 22:00 - 04.01.2017 23:00","0","2052"
"04.01.2017 23:00 - 05.01.2017 00:00","0","2148"
"05.01.2017 00:00 - 05.01.2017 01:00","0","2008"
"05.01.2017 01:00 - 05.01.2017 02:00","0","2078"
"05.01.2017 02:00 - 05.01.2017 03:00","0","1219"
"05.01.2017 03:00 - 05.01.2017 04:00","0","1116"
"05.01.2017 04:00 - 05.01.2017 05:00","0","1569"
"05.01.2017 05:00 - 05.01.2017 06:00","0","1418"
"05.01.2017 06:00 - 05.01.2017 07:00","0","1495"
"05.01.2017 07:00 - 05.01.2017 08:00","0","1772"
"05.01.2017 08:00 - 05.01.2017 09:00","0","2103"
"05.01.2017 09:00 - 05.01.2017 10:00","0","2473"
"05.01.2017 10:00 - 05.01.2017 11:00","0","2484"
"05.01.2017 11:00 - 05.01.2017 12:00","0","2773"
"05.01.2017 12:00 - 05.01.2017 13:00","0","2410"
"05.01.2017 13:00 - 05.01.2017 14:00","0","2333"
"05.01.2017 14:00 - 05.01.2017 15:00","0","2159"
"05.01.2017 15:00 - 05.01.2017 16:00","0","1607"
"05.01.2017 16:00 - 05.01.2017 17:00","0","1400"
"05.01.2017 17:00 - 05.01.2017 18:00","0","2228"
"05.01.2017 18:00 - 05.01.2017 19:00","0","2210"
"05.01.2017 19:00 - 05.01.2017 20:00","0","2240"
"05.01.2017 20:00 - 05.01.2017 21:00","0","2347"
"05.01.2017 21:00 - 05.01.2017 22:00","0","1463"
"05.01.2017 22:00 - 05.01.2017 23:00","0","1601"
"05.01.2017 23:00 - 06.01.2017 00:00","0","1101"
"06.01.2017 00:00 - 06.01.2017 01:00","0","1486"
"06.01.2017 01:00 - 06.01.2017 02:00","0","1202"
"06.01.2017 02:00 - 06.01.2017 03:00","0","824"
"06.01.2017 03:00 - 06.01.2017 04:00","0","408"
"06.01.2017 04:00 - 06.01.2017 05:00","0","628"
"06.01.2017 05:00 - 06.01.2017 06:00","0","976"
"06.01.2017 06:00 - 06.01.2017 07:00","0","1499"
"06.01.2017 07:00 - 06.01.2017 08:00","0","1797"
"06.01.2017 08:00 - 06.01.2017 09:00","0","2206"
"06.01.2017 09:00 - 06.01.2017 10:00","0","2456"
"06.01.2017 10:00 - 06.01.2017 11:00","0","2413"
"06.01.2017 11:00 - 06.01.2017 12:00","0","2380"
"06.01.2017 12:00 - 06.01.2017 13:00","0","2538"
"06.01.2017 13:00 - 06.01.2017 14:00","0","2504"
"06.01.2017 14:00 - 06.01.2017 15:00","0","2463"
"06.01.2017 15:00 - 06.01.2017 16:00","0","2159"
"06.01.2017 16:00 - 06.01.2017 17:00","0","2198"
"06.01.2017 17:00 - 06.01.2017 18:00","0","2760"
"06.01.2017 18:00 - 06.01.2017 19:00","0","2249"
"06.01.2017 19:00 - 06.01.2017 20:00","0","1936"
"06.01.2017 20:00 - 06.01.2017 21:00","0","1190"
"06.01.2017 21:00 - 06.01.2017 22:00","0","1355"
"06.01.2017 22:00 - 06.01.2017 23:00","0","1533"
"06.01.2017 23:00 - 07.01.2017 00:00","0","1268"
"07.01.2017 00:00 - 07.01.2017 01:00","0","2512"
"07.01.2017 01:00 - 07.01.2017 02:00","0","2590"
"07.01.2017 02:00 - 07.01.2017 03:00","0","2451"
"07.01.2017 03:00 - 07.01.2017 04:00","0","2469"
"07.01.2017 04:00 - 07.01.2017 05:00","0","2555"
"07.01.2017 05:00 - 07.01.2017 06:00","0","2551"
"07.01.2017 06:00 - 07.01.2017 07:00","0","2207"
"07.01.2017 07:00 - 07.01.2017 08:00","0","2676"
"07.01.2017 08:00 - 07.01.2017 09:00","0","2803"
"07.01.2017 09:00 - 07.01.2017 10:00","0","2726"
"07.01.2017 10:00 - 07.01.2017 11:00","0","2980"
"07.01.2017 11:00 - 07.01.2017 12:00","0","3069"
"07.01.2017 12:00 - 07.01.2017 13:00","0","2988"
"07.01.2017 13:00 - 07.01.2017 14:00","0","2972"
"07.01.2017 14:00 - 07.01.2017 15:00","0","2992"
"07.01.2017 15:00 - 07.01.2017 16:00","0","2819"
"07.01.2017 16:00 - 07.01.2017 17:00","0","2348"
"07.01.2017 17:00 - 07.01.2017 18:00","0","2752"
"07.01.2017 18:00 - 07.01.2017 19:00","0","2906"
"07.01.2017 19:00 - 07.01.2017 20:00","0","2793"
"07.01.2017 20:00 - 07.01.2017 21:00","0","2874"
"07.01.2017 21:00 - 07.01.2017 22:00","0","2645"
"07.01.2017 22:00 - 07.01.2017 23:00","0","2636"
"07.01.2017 23:00 - 08.01.2017 00:00","0","2873"
"08.01.2017 00:00 - 08.01.2017 01:00","0","2945"
"08.01.2017 01:00 - 08.01.2017 02:00","0","3032"
"08.01.2017 02:00 - 08.01.2017 03:00","0","2760"
"08.01.2017 03:00 - 08.01.2017 04:00","0","2574"
"08.01.2017 04:00 - 08.01.2017 05:00","0","2054"
"08.01.2017 05:00 - 08.01.2017 06:00","0","1985"
"08.01.2017 06:00 - 08.01.2017 07:00","0","2012"
"08.01.2017 07:00 - 08.01.2017 08:00","0","2044"
"08.01.2017 08:00 - 08.01.2017 09:00","0","1755"
"08.01.2017 09:00 - 08.01.2017 10:00","0","1808"
"08.01.2017 10:00 - 08.01.2017 11:00","0","1326"
"08.01.2017 11:00 - 08.01.2017 12:00","0","1776"
"08.01.2017 12:00 - 08.01.2017 13:00","0","1849"
"08.01.2017 13:00 - 08.01.2017 14:00","0","2114"
"08.01.2017 14:00 - 08.01.2017 15:00","0","2082"
"08.01.2017 15:00 - 08.01.2017 16:00","0","1942"
"08.01.2017 16:00 - 08.01.2017 17:00","0","1395"
"08.01.2017 17:00 - 08.01.2017 18:00","0","2100"
"08.01.2017 18:00 - 08.01.2017 19:00","0","2166"
"08.01.2017 19:00 - 08.01.2017 20:00","0","2167"
"08.01.2017 20:00 - 08.01.2017 21:00","0","1954"
"08.01.2017 21:00 - 08.01.2017 22:00","0","2323"
"08.01.2017 22:00 - 08.01.2017 23:00","0","2166"
"08.01.2017 23:00 - 09.01.2017 00:00","0","1977"
"09.01.2017 00:00 - 09.01.2017 01:00","0","1958"
"09.01.2017 01:00 - 09.01.2017 02:00","0","2052"
"09.01.2017 02:00 - 09.01.2017 03:00","0","1857"
"09.01.2017 03:00 - 09.01.2017 04:00","0","2085"
"09.01.2017 04:00 - 09.01.2017 05:00","0","1939"
"09.01.2017 05:00 - 09.01.2017 06:00","0","1233"
"09.01.2017 06:00 - 09.01.2017 07:00","215","0"
"09.01.2017 07:00 - 09.01.2017 08:00","0","571"
"09.01.2017 08:00 - 09.01.2017 09:00","0","613"
"09.01.2017 09:00 - 09.01.2017 10:00","0","576"
"09.01.2017 10:00 - 09.01.2017 11:00","0","683"
"09.01.2017 11:00 - 09.01.2017 12:00","0","616"
"09.01.2017 12:00 - 09.01.2017 13:00","0","433"
"09.01.2017 13:00 - 09.01.2017 14:00","0","134"
"09.01.2017 14:00 - 09.01.2017 15:00","329","0"
"09.01.2017 15:00 - 09.01.2017 16:00","222","0"
"09.01.2017 16:00 - 09.01.2017 17:00","0","41"
"09.01.2017 17:00 - 09.01.2017 18:00","0","1128"
"09.01.2017 18:00 - 09.01.2017 19:00","0","1298"
"09.01.2017 19:00 - 09.01.2017 20:00","0","1427"
"09.01.2017 20:00 - 09.01.2017 21:00","0","1499"
"09.01.2017 21:00 - 09.01.2017 22:00","0","793"
"09.01.2017 22:00 - 09.01.2017 23:00","0","756"
"09.01.2017 23:00 - 10.01.2017 00:00","0","733"
"10.01.2017 00:00 - 10.01.2017 01:00","0","889"
"10.01.2017 01:00 - 10.01.2017 02:00","0","1300"
"10.01.2017 02:00 - 10.01.2017 03:00","0","1587"
"10.01.2017 03:00 - 10.01.2017 04:00","0","1575"
"10.01.2017 04:00 - 10.01.2017 05:00","0","1790"
"10.01.2017 05:00 - 10.01.2017 06:00","0","1798"
"10.01.2017 06:00 - 10.01.2017 07:00","0","872"
"10.01.2017 07:00 - 10.01.2017 08:00","0","1343"
"10.01.2017 08:00 - 10.01.2017 09:00","0","1473"
"10.01.2017 09:00 - 10.01.2017 10:00","0","1211"
"10.01.2017 10:00 - 10.01.2017 11:00","0","1288"
"10.01.2017 11:00 - 10.01.2017 12:00","0","1007"
"10.01.2017 12:00 - 10.01.2017 13:00","0","800"
"10.01.2017 13:00 - 10.01.2017 14:00","0","855"
"10.01.2017 14:00 - 10.01.2017 15:00","0","932"
"10.01.2017 15:00 - 10.01.2017 16:00","0","1077"
"10.01.2017 16:00 - 10.01.2017 17:00","0","1297"
"10.01.2017 17:00 - 10.01.2017 18:00","0","2357"
"10.01.2017 18:00 - 10.01.2017 19:00","0","2442"
"10.01.2017 19:00 - 10.01.2017 20:00","0","2285"
"10.01.2017 20:00 - 10.01.2017 21:00","0","1776"
"10.01.2017 21:00 - 10.01.2017 22:00","0","1428"
"10.01.2017 22:00 - 10.01.2017 23:00","0","622"
"10.01.2017 23:00 - 11.01.2017 00:00","0","429"
"11.01.2017 00:00 - 11.01.2017 01:00","0","455"
"11.01.2017 01:00 - 11.01.2017 02:00","0","733"
"11.01.2017 02:00 - 11.01.2017 03:00","0","234"
"11.01.2017 03:00 - 11.01.2017 04:00","0","123"
"11.01.2017 04:00 - 11.01.2017 05:00","12","0"
"11.01.2017 05:00 - 11.01.2017 06:00","313","0"
"11.01.2017 06:00 - 11.01.2017 07:00","0","284"
"11.01.2017 07:00 - 11.01.2017 08:00","0","495"
"11.01.2017 08:00 - 11.01.2017 09:00","0","252"
"11.01.2017 09:00 - 11.01.2017 10:00","0","869"
"11.01.2017 10:00 - 11.01.2017 11:00","0","1418"
"11.01.2017 11:00 - 11.01.2017 12:00","0","1403"
"11.01.2017 12:00 - 11.01.2017 13:00","0","1369"
"11.01.2017 13:00 - 11.01.2017 14:00","0","1649"
"11.01.2017 14:00 - 11.01.2017 15:00","0","1277"
"11.01.2017 15:00 - 11.01.2017 16:00","0","1049"
"11.01.2017 16:00 - 11.01.2017 17:00","0","1332"
"11.01.2017 17:00 - 11.01.2017 18:00","0","1727"
"11.01.2017 18:00 - 11.01.2017 19:00","0","1627"
"11.01.2017 19:00 - 11.01.2017 20:00","0","1764"
"11.01.2017 20:00 - 11.01.2017 21:00","0","2043"
"11.01.2017 21:00 - 11.01.2017 22:00","0","1969"
"11.01.2017 22:00 - 11.01.2017 23:00","0","1791"
"11.01.2017 23:00 - 12.01.2017 00:00","0","1997"
"12.01.2017 00:00 - 12.01.2017 01:00","0","1787"
"12.01.2017 01:00 - 12.01.2017 02:00","0","1724"
"12.01.2017 02:00 - 12.01.2017 03:00","0","1628"
"12.01.2017 03:00 - 12.01.2017 04:00","0","1553"
"12.01.2017 04:00 - 12.01.2017 05:00","0","1563"
"12.01.2017 05:00 - 12.01.2017 06:00","0","1654"
"12.01.2017 06:00 - 12.01.2017 07:00","0","1693"
"12.01.2017 07:00 - 12.01.2017 08:00","0","1296"
"12.01.2017 08:00 - 12.01.2017 09:00","0","1315"
"12.01.2017 09:00 - 12.01.2017 10:00","0","1402"
"12.01.2017 10:00 - 12.01.2017 11:00","0","1382"
"12.01.2017 11:00 - 12.01.2017 12:00","0","1443"
"12.01.2017 12:00 - 12.01.2017 13:00","0","1485"
"12.01.2017 13:00 - 12.01.2017 14:00","0","1578"
"12.01.2017 14:00 - 12.01.2017 15:00","0","1434"
"12.01.2017 15:00 - 12.01.2017 16:00","0","1914"
"12.01.2017 16:00 - 12.01.2017 17:00","0","1894"
"12.01.2017 17:00 - 12.01.2017 18:00","0","2047"
"12.01.2017 18:00 - 12.01.2017 19:00","0","2000"
"12.01.2017 19:00 - 12.01.2017 20:00","0","2025"
"12.01.2017 20:00 - 12.01.2017 21:00","0","1907"
"12.01.2017 21:00 - 12.01.2017 22:00","0","1687"
"12.01.2017 22:00 - 12.01.2017 23:00","0","2210"
"12.01.2017 23:00 - 13.01.2017 00:00","0","2824"
"13.01.2017 00:00 - 13.01.2017 01:00","0","2281"
"13.01.2017 01:00 - 13.01.2017 02:00","0","2069"
"13.01.2017 02:00 - 13.01.2017 03:00","0","1940"
"13.01.2017 03:00 - 13.01.2017 04:00","0","2043"
"13.01.2017 04:00 - 13.01.2017 05:00","0","2401"
"13.01.2017 05:00 - 13.01.2017 06:00","0","2663"
"13.01.2017 06:00 - 13.01.2017 07:00","0","2908"
"13.01.2017 07:00 - 13.01.2017 08:00","0","3059"
"13.01.2017 08:00 - 13.01.2017 09:00","0","2063"
"13.01.2017 09:00 - 13.01.2017 10:00","0","2188"
"13.01.2017 10:00 - 13.01.2017 11:00","0","2312"
"13.01.2017 11:00 - 13.01.2017 12:00","0","2030"
"13.01.2017 12:00 - 13.01.2017 13:00","0","1718"
"13.01.2017 13:00 - 13.01.2017 14:00","0","1968"
"13.01.2017 14:00 - 13.01.2017 15:00","0","1757"
"13.01.2017 15:00 - 13.01.2017 16:00","0","1753"
"13.01.2017 16:00 - 13.01.2017 17:00","0","2005"
"13.01.2017 17:00 - 13.01.2017 18:00","0","2308"
"13.01.2017 18:00 - 13.01.2017 19:00","0","2662"
"13.01.2017 19:00 - 13.01.2017 20:00","0","2704"
"13.01.2017 20:00 - 13.01.2017 21:00","0","2206"
"13.01.2017 21:00 - 13.01.2017 22:00","0","1903"
"13.01.2017 22:00 - 13.01.2017 23:00","0","1798"
"13.01.2017 23:00 - 14.01.2017 00:00","0","1899"
"14.01.2017 00:00 - 14.01.2017 01:00","0","2170"
"14.01.2017 01:00 - 14.01.2017 02:00","0","1855"
"14.01.2017 02:00 - 14.01.2017 03:00","0","1678"
"14.01.2017 03:00 - 14.01.2017 04:00","0","1847"
"14.01.2017 04:00 - 14.01.2017 05:00","0","1740"
"14.01.2017 05:00 - 14.01.2017 06:00","0","1978"
"14.01.2017 06:00 - 14.01.2017 07:00","0","2293"
"14.01.2017 07:00 - 14.01.2017 08:00","0","2278"
"14.01.2017 08:00 - 14.01.2017 09:00","0","2497"
"14.01.2017 09:00 - 14.01.2017 10:00","0","2590"
"14.01.2017 10:00 - 14.01.2017 11:00","0","2914"
"14.01.2017 11:00 - 14.01.2017 12:00","0","2909"
"14.01.2017 12:00 - 14.01.2017 13:00","0","3043"
"14.01.2017 13:00 - 14.01.2017 14:00","0","2966"
"14.01.2017 14:00 - 14.01.2017 15:00","0","2488"
"14.01.2017 15:00 - 14.01.2017 16:00","0","2048"
"14.01.2017 16:00 - 14.01.2017 17:00","0","2226"
"14.01.2017 17:00 - 14.01.2017 18:00","0","2641"
"14.01.2017 18:00 - 14.01.2017 19:00","0","2718"
"14.01.2017 19:00 - 14.01.2017 20:00","0","2338"
"14.01.2017 20:00 - 14.01.2017 21:00","0","2222"
"14.01.2017 21:00 - 14.01.2017 22:00","0","2018"
