"Time (CET/CEST)","Poland (PL) > Germany (DE) [MW]","Germany (DE) > Poland (PL) [MW]"
"01.01.2017 00:00 - 01.01.2017 01:00","0","648"
"01.01.2017 01:00 - 01.01.2017 02:00","0","642"
"01.01.2017 02:00 - 01.01.2017 03:00","0","645"
"01.01.2017 03:00 - 01.01.2017 04:00","0","826"
"01.01.2017 04:00 - 01.01.2017 05:00","0","763"
"01.01.2017 05:00 - 01.01.2017 06:00","0","753"
"01.01.2017 06:00 - 01.01.2017 07:00","0","786"
"01.01.2017 07:00 - 01.01.2017 08:00","0","826"
"01.01.2017 08:00 - 01.01.2017 09:00","0","669"
"01.01.2017 09:00 - 01.01.2017 10:00","0","821"
"01.01.2017 10:00 - 01.01.2017 11:00","0","721"
"01.01.2017 11:00 - 01.01.2017 12:00","0","717"
"01.01.2017 12:00 - 01.01.2017 13:00","0","704"
"01.01.2017 13:00 - 01.01.2017 14:00","0","753"
"01.01.2017 14:00 - 01.01.2017 15:00","0","724"
"01.01.2017 15:00 - 01.01.2017 16:00","0","643"
"01.01.2017 16:00 - 01.01.2017 17:00","0","449"
"01.01.2017 17:00 - 01.01.2017 18:00","0","438"
"01.01.2017 18:00 - 01.01.2017 19:00","0","377"
"01.01.2017 19:00 - 01.01.2017 20:00","0","400"
"01.01.2017 20:00 - 01.01.2017 21:00","0","503"
"01.01.2017 21:00 - 01.01.2017 22:00","0","592"
"01.01.2017 22:00 - 01.01.2017 23:00","0","559"
"01.01.2017 23:00 - 02.01.2017 00:00","0","555"
"02.01.2017 00:00 - 02.01.2017 01:00","0","523"
"02.01.2017 01:00 - 02.01.2017 02:00","0","622"
"02.01.2017 02:00 - 02.01.2017 03:00","0","682"
"02.01.2017 03:00 - 02.01.2017 04:00","0","690"
"02.01.2017 04:00 - 02.01.2017 05:00","0","752"
"02.01.2017 05:00 - 02.01.2017 06:00","0","905"
"02.01.2017 06:00 - 02.01.2017 07:00","0","1055"
"02.01.2017 07:00 - 02.01.2017 08:00","0","1004"
"02.01.2017 08:00 - 02.01.2017 09:00","0","1090"
"02.01.2017 09:00 - 02.01.2017 10:00","0","692"
"02.01.2017 10:00 - 02.01.2017 11:00","0","610"
"02.01.2017 11:00 - 02.01.2017 12:00","0","557"
"02.01.2017 12:00 - 02.01.2017 13:00","0","881"
