Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2018-12-28;3,0386;3,0455;2,8612;2,8852;;
2018-12-27;2,9919;3,1127;2,9164;3,0563;;
2018-12-21;3,1729;3,2859;3,0501;3,1981;;
2018-12-20;3,2037;3,2798;3,0564;3,1758;;
2018-12-19;3,3002;3,3431;3,0188;3,2072;;
2018-12-18;3,0986;3,3156;3,0188;3,2841;;
2018-12-17;3,1922;3,2204;3,0231;3,1097;;
2018-12-14;3,5675;3,589;3,3287;3,3612;;
2018-12-13;3,5919;3,6853;3,469;3,6409;;
2018-12-12;3,872;3,8801;3,5473;3,6244;;
2018-12-11;3,9781;4,0348;3,655;3,8465;;
2018-12-10;4,01;4,0446;3,7624;3,9593;;
2018-12-07;3,758;3,9871;3,5977;3,9717;;
2018-12-06;3,9459;3,9497;3,6307;3,8576;;
2018-12-05;4,046;4,046;3,7098;3,9225;;
2018-12-04;3,8672;3,94;3,6227;3,94;;
2018-12-03;3,9693;3,9984;3,5989;3,841;;
2018-11-30;4,0868;4,1153;3,7536;3,8061;;
2018-11-29;4,0449;4,0901;3,7596;4,0293;;
2018-11-28;3,7599;4,1775;3,5945;4,1408;;
2018-11-27;3,6574;3,833;3,5038;3,7161;;
2018-11-26;3,6387;3,786;3,4552;3,7448;;
2018-11-23;3,7517;3,9905;3,5671;3,5671;;
2018-11-22;3,9756;3,9816;3,3973;3,3973;;
2018-11-21;4,0846;4,2325;3,7782;3,9394;;
2018-11-20;3,911;4,0241;3,6461;3,9786;;
2018-11-19;4,0632;4,1793;3,886;4,0147;;
2018-11-16;3,5514;3,8629;3,4671;3,8448;;
2018-11-15;4,1724;4,1964;3,5038;3,573;;
2018-11-14;3,6096;4,3331;3,6036;4,3134;;
2018-11-13;3,5236;3,6587;3,4939;3,6341;;
2018-11-12;3,3602;3,4661;3,323;3,4558;;
2018-11-09;3,1582;3,3604;3,1433;3,2911;;
2018-11-08;3,0927;3,1333;3,0551;3,1098;;
2018-11-07;3,0805;3,1028;3,0389;3,0922;;
2018-11-06;3,1013;3,1301;3,0669;3,0992;;
2018-11-05;3,039;3,1452;3,0256;3,1339;;
2018-11-02;2,8559;2,8994;2,7698;2,8737;;
2018-11-01;2,8731;2,9033;2,8206;2,851;;
2018-10-31;2,8636;2,918;2,8322;2,9009;;
2018-10-30;2,8298;2,8746;2,7661;2,8205;;
2018-10-29;2,7894;2,8186;2,7647;2,7954;;
2018-10-26;2,8336;2,8683;2,7718;2,8664;;
2018-10-25;2,83;2,8719;2,8053;2,8334;;
2018-10-24;2,846;2,901;2,8192;2,8503;;
2018-10-23;2,7929;2,865;2,7406;2,8447;;
2018-10-22;2,7998;2,8472;2,7187;2,7303;;
2018-10-19;2,8374;2,8579;2,7701;2,8255;;
2018-10-18;2,8727;2,8879;2,7772;2,8095;;
2018-10-17;2,8304;2,8993;2,8243;2,8972;;
2018-10-16;2,842;2,871;2,79;2,8008;;
2018-10-15;2,7697;2,8399;2,7431;2,8129;;
2018-10-12;2,8008;2,8518;2,7183;2,7274;;
2018-10-11;2,8022;2,844;2,7461;2,7873;;
2018-10-10;2,8945;2,9382;2,8247;2,8336;;
2018-10-09;2,8794;2,9458;2,8403;2,8705;;
2018-10-08;2,7926;2,8781;2,7645;2,8583;;
2018-10-05;2,7755;2,8179;2,7201;2,7395;;
2018-10-04;2,8275;2,8539;2,7407;2,771;;
2018-10-02;2,7091;2,7883;2,6967;2,7375;;
2018-10-01;2,6085;2,7089;2,5909;2,6761;;
2018-09-28;2,6316;2,6711;2,5903;2,5922;;
2018-09-27;2,534;2,678;2,5233;2,6088;;
2018-09-26;2,5951;2,6415;2,5285;2,5419;;
2018-09-25;2,5822;2,6263;2,5648;2,5869;;
2018-09-24;2,521;2,6066;2,5046;2,5794;;
2018-09-21;2,5209;2,5622;2,4958;2,534;;
2018-09-20;2,4577;2,5503;2,4459;2,5094;;
2018-09-19;2,4955;2,525;2,4633;2,4633;;
2018-09-18;2,3871;2,4932;2,3823;2,4652;;
