Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2018-12-28;47,0632;47,22;45,5491;46,0512;;
2018-12-27;47,6399;47,6572;46,2573;47,2027;;
2018-12-21;48,303;48,3858;46,5675;47,4647;;
2018-12-20;49,4147;49,4528;47,6811;47,9637;;
2018-12-19;49,4972;50,8966;49,263;49,8468;;
2018-12-18;51,6917;51,8655;49,2242;49,4243;;
2018-12-17;53,1392;53,9525;51,7657;51,838;;
2018-12-14;54,0677;54,5049;53,2137;53,2977;;
2018-12-13;53,1284;54,488;52,2671;54,3046;;
2018-12-12;53,6438;54,1249;52,915;52,9903;;
2018-12-11;52,7593;53,6608;52,4049;52,966;;
2018-12-10;54,1559;54,4416;52,194;52,4198;;
2018-12-07;52,2918;55,9291;52,0536;54,1298;;
2018-12-06;53,7736;54,5476;51,5483;53,0504;;
2018-12-05;53,9051;55,7071;53,6467;54,3564;;
2018-12-04;54,7573;55,6977;53,9876;54,0205;;
2018-12-03;54,8377;55,115;53,5048;54,6751;;
2018-11-30;52,9832;52,9832;51,175;52,0778;;
2018-11-29;51,8696;53,303;50,8463;52,5491;;
2018-11-28;54,2745;54,3052;52,1936;52,4541;;
2018-11-27;53,1626;54,1896;52,2526;53,6027;;
2018-11-26;52,8997;53,8232;52,5714;53,4511;;
2018-11-23;54,9273;55,1011;51,7593;52,3251;;
2018-11-22;55,8439;56,1914;54,9753;55,0875;;
2018-11-21;55,7591;56,7656;55,3412;55,8023;;
2018-11-20;58,1113;58,4306;54,1277;54,6133;;
2018-11-19;58,8515;59,0928;57,1607;58,5456;;
2018-11-16;59,3012;60,1957;58,3566;59,0265;;
2018-11-15;58,6619;59,592;58,2404;58,9079;;
2018-11-14;57,9058;59,8217;57,6902;58,5732;;
2018-11-13;61,7756;61,8658;57,5147;57,8351;;
2018-11-12;63,377;63,7862;61,1658;61,3417;;
2018-11-09;62,3999;62,3999;60,9906;61,4034;;
2018-11-08;63,1956;63,9515;61,8058;61,8471;;
2018-11-07;62,56;63,9878;62,1661;62,679;;
2018-11-06;63,6582;64,1098;62,3213;63,083;;
2018-11-05;63,9008;65,0028;63,5904;64,0074;;
2018-11-02;63,9981;64,1685;63,4795;63,6119;;
2018-11-01;65,5656;65,7594;63,7778;63,861;;
2018-10-31;67,6974;68,1149;65,9084;65,9364;;
2018-10-30;67,9776;67,999;66,2559;67,064;;
2018-10-29;67,9929;68,233;67,3208;67,5371;;
2018-10-26;67,2439;68,6868;66,8383;68,5617;;
2018-10-25;66,3758;67,4949;66,2143;67,2248;;
2018-10-24;66,9332;67,955;66,0329;66,4426;;
2018-10-23;68,4488;68,4602;65,9589;66,3065;;
2018-10-22;69,7085;69,9442;68,775;69,6918;;
2018-10-19;69,4431;70,4709;69,1086;69,7757;;
2018-10-18;69,5218;69,6341;68,4237;68,9295;;
2018-10-17;70,7495;70,9549;68,7676;69,6073;;
2018-10-16;69,7366;70,5422;68,905;70,1725;;
2018-10-15;70,1896;70,3431;69,0021;69,6426;;
2018-10-12;70,1227;70,3418;68,5029;69,6504;;
2018-10-11;70,6998;71,1804;68,9753;69,2216;;
2018-10-10;73,7406;74,023;71,8423;71,8734;;
2018-10-09;73,7562;74,6831;73,3501;74,3111;;
2018-10-08;72,7011;73,1329;72,0327;73,045;;
2018-10-05;74,2498;74,2904;72,9813;73,1036;;
2018-10-04;74,7944;75,1101;73,1919;73,6387;;
2018-10-02;73,6726;73,9128;73,0608;73,30;;
2018-10-01;71,7106;73,5884;71,1538;73,2662;;
2018-09-28;70,3923;72,0121;70,3138;71,57;;
2018-09-27;69,9523;69,9694;69,103;69,5129;;
2018-09-26;69,1975;69,7462;68,7433;68,9971;;
2018-09-25;68,732;69,4169;68,564;68,9153;;
2018-09-24;67,7513;68,6009;67,5768;68,5808;;
2018-09-21;66,7291;67,6169;66,1381;66,4989;;
2018-09-20;67,2965;67,3928;66,3415;66,3695;;
2018-09-19;67,3445;67,6975;66,8611;67,4763;;
2018-09-18;66,3473;68,1119;66,2787;67,5295;;
2018-09-17;66,8505;67,5866;66,6122;66,7536;;
2018-09-14;66,9021;67,4987;66,24;66,8063;;
2018-09-13;68,2617;68,4682;67,0443;67,4378;;
2018-09-12;68,5528;69,125;68,0209;68,7359;;
2018-09-11;67,0597;68,4909;67,0344;68,3925;;
2018-09-10;66,8187;67,319;66,514;66,8527;;
2018-09-07;65,8727;66,2957;65,3816;66,2908;;
2018-09-06;66,3326;66,8598;65,0368;65,9303;;
2018-09-05;67,0923;67,25;66,5133;66,7289;;
2018-09-04;67,5527;68,9243;67,0444;67,1495;;
2018-09-03;66,7174;67,563;66,6942;67,1996;;
2018-08-31;66,978;67,1127;66,3223;66,6736;;
2018-08-30;66,3637;66,9511;66,3441;66,4769;;
2018-08-29;65,3893;66,6394;65,2006;66,6324;;
2018-08-28;65,2451;65,9036;64,967;65,1692;;
2018-08-27;65,4821;65,8587;65,0912;65,8587;;
2018-08-24;65,1521;66,2094;65,1292;65,537;;
2018-08-23;64,7019;64,9129;64,4697;64,9054;;
2018-08-22;62,9968;64,8116;62,9203;64,5914;;
2018-08-21;62,8869;63,4065;62,662;63,0312;;
2018-08-20;62,8016;63,68;62,7735;63,2237;;
2018-08-17;62,6574;63,6227;62,5855;62,9825;;
2018-08-16;62,5512;62,8549;62,1356;62,7823;;
2018-08-15;63,8589;63,9899;62,1286;62,4423;;
2018-08-14;63,8473;64,7986;63,4197;63,6893;;
2018-08-13;63,6698;64,0373;62,321;63,7957;;
2018-08-10;62,781;63,8341;62,3842;63,6149;;
2018-08-09;62,5513;62,8617;62,0168;62,0913;;
2018-08-08;64,4151;64,5775;61,8704;62,3448;;
2018-08-07;63,7293;64,524;63,7293;64,2124;;
