Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-12-30;2,2236;2,2305;1,9945;2,1048;;
2019-12-27;2,2274;2,242;2,1426;2,242;;
2019-12-23;2,2175;2,2284;2,1701;2,2031;;
2019-12-20;2,2705;2,3137;2,236;2,2891;;
2019-12-19;2,2536;2,2879;2,19;2,2563;;
2019-12-18;2,2818;2,2848;2,2196;2,267;;
2019-12-17;2,3217;2,3246;2,251;2,293;;
2019-12-16;2,2713;2,352;2,2401;2,3473;;
2019-12-13;2,2904;2,2999;2,2055;2,2919;;
2019-12-12;2,2425;2,3394;2,2186;2,3394;;
2019-12-11;2,2346;2,2652;2,2105;2,2384;;
2019-12-10;2,1832;2,2546;2,177;2,2544;;
2019-12-09;2,2207;2,234;2,1618;2,234;;
2019-12-06;2,3931;2,4159;2,2912;2,3245;;
2019-12-05;2,418;2,418;2,3433;2,4099;;
2019-12-04;2,4102;2,4102;2,3155;2,3927;;
2019-12-03;2,3545;2,4752;2,3054;2,4201;;
2019-12-02;2,3435;2,3435;2,2477;2,3245;;
2019-11-29;2,4437;2,4576;2,1843;2,2348;;
2019-11-28;2,4973;2,498;2,2804;2,4246;;
2019-11-27;2,5031;2,5377;2,4355;2,4876;;
2019-11-26;2,5405;2,5467;2,4368;2,5204;;
2019-11-25;2,6644;2,6691;2,5041;2,5686;;
2019-11-22;2,6096;2,7029;2,5108;2,6987;;
2019-11-21;2,5874;2,6132;2,4993;2,5871;;
2019-11-20;2,535;2,595;2,5174;2,5609;;
2019-11-19;2,5485;2,5632;2,4706;2,5035;;
2019-11-18;2,6156;2,6249;2,5311;2,5477;;
2019-11-15;2,5984;2,7055;2,587;2,6692;;
2019-11-14;2,673;2,6822;2,6114;2,6439;;
2019-11-13;2,6068;2,67;2,5553;2,668;;
2019-11-12;2,6338;2,6677;2,5965;2,6217;;
2019-11-11;2,699;2,7036;2,6046;2,6298;;
2019-11-08;2,8012;2,8055;2,7491;2,7831;;
2019-11-07;2,8138;2,8544;2,7412;2,8028;;
2019-11-06;2,8537;2,8754;2,8116;2,8142;;
2019-11-05;2,8869;2,8925;2,8193;2,854;;
2019-11-04;2,7973;2,8295;2,7712;2,8167;;
2019-11-01;2,6297;2,697;2,555;2,6838;;
2019-10-31;2,7003;2,7166;2,5912;2,6226;;
2019-10-30;2,6024;2,701;2,5997;2,6791;;
2019-10-29;2,579;2,6829;2,5772;2,6064;;
2019-10-28;2,5599;2,5602;2,475;2,5497;;
2019-10-25;2,4096;2,4489;2,3067;2,4468;;
2019-10-24;2,3435;2,4374;2,2987;2,4146;;
2019-10-23;2,2953;2,435;2,2849;2,4076;;
2019-10-22;2,2078;2,443;2,2078;2,2454;;
2019-10-21;2,3213;2,3934;2,2099;2,24;;
2019-10-18;2,3258;2,4943;2,2894;2,3423;;
