Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2017-12-29;2,4673;2,4785;2,423;2,4508;;
2017-12-28;2,3244;2,4445;2,3112;2,4181;;
2017-12-27;2,2257;2,3042;2,1845;2,2839;;
2017-12-22;2,207;2,239;2,1559;2,2375;;
2017-12-21;2,2194;2,226;2,1466;2,1891;;
2017-12-20;2,3252;2,3252;2,1827;2,2244;;
2017-12-19;2,3312;2,3312;2,2616;2,2834;;
2017-12-18;2,2431;2,3378;2,2385;2,3194;;
2017-12-15;2,2674;2,2953;2,178;2,2008;;
2017-12-14;2,2778;2,2778;2,2197;2,2586;;
2017-12-13;2,3074;2,3237;2,2517;2,2909;;
2017-12-12;2,3861;2,4096;2,2661;2,2706;;
2017-12-11;2,3922;2,4104;2,3511;2,3785;;
2017-12-08;2,3398;2,386;2,3323;2,3821;;
2017-12-07;2,4344;2,4397;2,3308;2,3665;;
2017-12-06;2,4703;2,4933;2,4228;2,4772;;
2017-12-05;2,486;2,5154;2,4101;2,467;;
2017-12-04;2,6523;2,6555;2,4715;2,5252;;
2017-12-01;2,546;2,6047;2,5361;2,5953;;
2017-11-30;2,6574;2,6589;2,5255;2,5514;;
2017-11-29;2,6473;2,6899;2,6392;2,6715;;
2017-11-28;2,5901;2,6507;2,536;2,6497;;
2017-11-27;2,4992;2,5165;2,4535;2,5011;;
2017-11-24;2,4479;2,5137;2,3845;2,4236;;
2017-11-23;2,4866;2,5359;2,4593;2,4593;;
2017-11-22;2,5557;2,5963;2,5104;2,5308;;
2017-11-21;2,5635;2,6342;2,5521;2,5629;;
2017-11-20;2,5927;2,605;2,5565;2,5702;;
2017-11-17;2,6005;2,6403;2,5843;2,6182;;
2017-11-16;2,5998;2,6442;2,5689;2,569;;
2017-11-15;2,5912;2,6596;2,5684;2,5942;;
2017-11-14;2,6457;2,665;2,5998;2,6269;;
2017-11-13;2,708;2,7556;2,6895;2,7242;;
2017-11-10;2,7592;2,7789;2,712;2,7369;;
2017-11-09;2,7028;2,7629;2,6943;2,7513;;
2017-11-08;2,6986;2,7465;2,6729;2,7304;;
2017-11-07;2,6834;2,733;2,6627;2,7254;;
2017-11-06;2,6194;2,7102;2,6119;2,6836;;
2017-11-03;2,4954;2,5628;2,494;2,5432;;
2017-11-02;2,4851;2,5347;2,4758;2,5156;;
2017-11-01;2,4944;2,5105;2,4461;2,4902;;
2017-10-30;2,5414;2,5775;2,5232;2,5415;;
2017-10-27;2,6295;2,6295;2,5215;2,5306;;
2017-10-26;2,6191;2,6266;2,573;2,5894;;
2017-10-25;2,6011;2,6679;2,5902;2,6061;;
2017-10-24;2,5693;2,6673;2,503;2,5115;;
2017-10-23;2,6347;2,6732;2,5257;2,5468;;
2017-10-20;2,4245;2,5571;2,4007;2,4461;;
2017-10-19;2,4258;2,5473;2,3848;2,3848;;
2017-10-18;2,478;2,5784;2,4151;2,4265;;
2017-10-17;2,5132;2,6442;2,5041;2,5106;;
2017-10-16;2,5038;2,6004;2,4747;2,5001;;
