Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-12-30;67,0549;67,5336;66,8318;67,2787;;
2019-12-27;67,0329;67,0558;66,3942;66,8251;;
2019-12-23;65,0026;65,6369;64,8923;65,6151;;
2019-12-20;66,5674;66,68;65,8021;65,9859;;
2019-12-19;66,2124;66,7332;66,037;66,4728;;
2019-12-18;65,7407;66,3762;65,578;66,1749;;
2019-12-17;65,3498;66,2242;65,1281;66,1404;;
2019-12-16;65,1015;65,6436;65,0436;65,3391;;
2019-12-13;64,6408;65,6009;64,5416;64,9118;;
2019-12-12;63,9999;64,7751;63,8976;64,3283;;
2019-12-11;63,9387;64,2523;63,0353;63,8189;;
2019-12-10;64,2048;64,5691;63,7975;64,3791;;
2019-12-09;64,2492;64,4734;63,6244;64,164;;
2019-12-06;63,3034;64,7299;62,8559;64,2499;;
2019-12-05;62,8581;63,877;62,8482;63,3567;;
2019-12-04;61,2675;63,4616;61,0917;63,0548;;
2019-12-03;61,0934;61,3736;60,3242;61,0101;;
2019-12-02;61,1554;62,0755;60,7777;60,8549;;
2019-11-29;63,1311;63,1886;60,4069;60,7759;;
2019-11-28;62,7887;63,3429;62,5244;63,2847;;
2019-11-27;63,134;63,5325;62,4739;63,0339;;
2019-11-26;62,534;63,2542;62,4356;63,2083;;
2019-11-25;62,5885;62,7257;61,9203;62,6128;;
2019-11-22;62,5691;63,154;61,9452;62,5928;;
2019-11-21;61,3256;62,9917;61,0417;62,7191;;
2019-11-20;59,9182;61,8435;59,4699;61,4647;;
2019-11-19;62,3539;62,5482;60,7167;60,9172;;
2019-11-18;63,2169;63,5066;61,9908;62,1581;;
2019-11-15;62,3695;63,6117;61,7047;63,3433;;
2019-11-14;62,7515;63,1745;62,2033;62,4082;;
2019-11-13;61,7513;62,7027;61,2404;62,5008;;
2019-11-12;62,4694;62,8434;61,8405;62,0657;;
2019-11-11;61,8221;62,7532;61,5966;62,2189;;
2019-11-08;61,8538;62,6818;60,7351;62,6321;;
2019-11-07;61,751;62,802;61,7305;62,1719;;
2019-11-06;62,6018;63,2111;61,6282;61,8522;;
