Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2022-12-30;78,5751;78,9676;77,7118;77,8406;;
2022-12-29;78,0944;78,6315;76,8673;78,6033;;
2022-12-28;79,3676;79,7284;77,572;78,5929;;
2022-12-27;80,1353;81,0193;79,2509;79,8854;;
2022-12-23;77,1641;79,7582;77,1591;79,627;;
2022-12-22;77,6588;79,211;76,5168;77,3437;;
2022-12-21;75,25;77,5785;74,7948;77,3539;;
2022-12-20;75,6212;76,1141;73,8495;75,3437;;
2022-12-19;75,0043;76,2743;74,225;75,7827;;
2022-12-16;76,4042;76,5687;73,7182;74,4553;;
2022-12-15;77,062;78,2793;76,1414;76,6315;;
2022-12-14;75,5912;78,0778;75,4771;77,7765;;
2022-12-13;75,0471;77,0554;74,2869;76,4462;;
2022-12-12;72,4371;74,3584;71,2803;74,0406;;
2022-12-09;72,6554;73,3119;71,1574;72,5168;;
2022-12-08;74,2091;75,2313;72,065;72,3441;;
2022-12-07;75,4281;76,4446;73,0911;73,4682;;
2022-12-06;79,1768;79,5804;74,8633;75,6206;;
2022-12-05;81,1872;83,5617;77,9976;78,3978;;
2022-12-02;82,5121;83,3959;80,878;81,441;;
2022-12-01;82,8202;85,4252;82,6866;83,1153;;
2022-11-30;81,7164;84,1453;81,441;83,7324;;
2022-11-29;82,324;83,3842;80,799;81,5215;;
2022-11-28;77,6128;80,8536;77,2625;79,8805;;
2022-11-25;82,2123;83,7338;80,5603;80,8525;;
2022-11-24;81,3276;81,9833;80,674;81,9241;;
2022-11-23;85,6188;86,727;81,5018;82,0922;;
2022-11-22;85,1283;87,495;85,0504;86,1721;;
2022-11-21;84,6128;85,6615;80,3973;85,1599;;
2022-11-18;87,0234;87,0878;82,7848;84,7547;;
2022-11-17;89,166;90,0481;86,8446;87,1275;;
2022-11-16;89,4279;91,0506;88,0966;88,9368;;
2022-11-15;89,6203;91,9383;88,039;90,0494;;
2022-11-14;92,9386;93,6391;89,6462;89,6462;;
2022-11-11;92,8179;94,0518;92,2182;93,0443;;
2022-11-10;93,0073;94,7446;92,1744;93,8942;;
2022-11-09;95,1035;95,1882;92,012;92,0839;;
2022-11-08;98,051;98,0965;95,3214;95,6191;;
2022-11-07;97,7019;99,6439;97,2219;98,1602;;
2022-11-04;98,0942;100,0467;97,4807;99,9142;;
2022-11-03;97,9771;97,9771;96,6101;96,8802;;
2022-11-02;96,4662;97,4124;94,9641;96,4981;;
2022-11-01;94,503;96,0232;94,0549;95,2469;;
2022-10-31;93,8339;94,5417;92,3386;93,3315;;
2022-10-28;94,6121;95,3995;93,5872;94,4689;;
2022-10-27;93,7232;94,9602;92,8999;94,6449;;
2022-10-26;92,4025;95,9167;91,8774;95,725;;
2022-10-25;94,8057;95,7019;92,9342;94,295;;
2022-10-24;94,1289;95,6097;92,68;94,7283;;
2022-10-21;95,1369;96,3908;93,5973;96,1397;;
2022-10-20;94,9287;96,5082;93,7332;94,3541;;
2022-10-19;92,4602;94,9506;91,4667;94,2632;;
2022-10-18;93,9067;94,1422;90,3305;91,7708;;
2022-10-17;95,0428;95,6356;93,3223;94,0784;;
2022-10-14;97,4564;97,805;93,9739;94,4773;;
2022-10-13;95,0477;97,4319;93,6381;97,1358;;
2022-10-12;97,2987;98,0091;94,3979;95,1719;;
2022-10-11;98,9113;98,9481;95,804;96,2666;;
2022-10-10;100,2699;101,6037;98,6603;98,876;;
2022-10-07;96,3493;100,5935;95,8878;99,8653;;
2022-10-06;94,6598;96,3539;94,1226;96,3539;;
2022-10-05;92,6207;94,7175;91,9507;94,4258;;
2022-10-04;90,4559;93,2389;89,9972;92,6168;;
2022-10-03;89,4901;91,8578;89,2489;90,8933;;
2022-09-30;89,7016;90,8627;87,2568;87,6702;;
2022-09-29;90,0012;91,365;88,8761;90,061;;
2022-09-28;87,4377;92,1779;86,8591;91,832;;
2022-09-27;86,9587;88,6974;86,8022;87,9551;;
2022-09-26;87,5429;89,5435;85,6914;85,8267;;
2022-09-23;91,4631;91,7448;86,7185;87,5172;;
2022-09-22;91,4462;93,8122;90,7597;91,4574;;
2022-09-21;91,7541;94,3443;90,2282;91,0667;;
2022-09-20;92,2308;93,1037;90,0019;90,8844;;
2022-09-19;91,5774;92,138;88,6454;91,9225;;
2022-09-16;91,518;92,9786;90,6828;92,0023;;
2022-09-15;94,1411;94,6912;90,1708;90,9995;;
2022-09-14;92,7381;95,8291;92,0775;94,34;;
2022-09-13;92,1285;93,8309;89,6204;91,7951;;
2022-09-12;90,3618;93,6589;90,3618;92,6449;;
2022-09-09;88,9473;92,6479;88,804;91,9624;;
2022-09-08;88,5851;89,6657;87,2104;88,438;;
2022-09-07;92,5594;94,8431;88,7493;88,7516;;
2022-09-06;95,8211;96,5938;92,9786;93,2046;;
