"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"01.01.2019 00:00 - 01.01.2019 00:15","44216","44461"
"01.01.2019 00:15 - 01.01.2019 00:30","44008","43914"
"01.01.2019 00:30 - 01.01.2019 00:45","43454","43381"
"01.01.2019 00:45 - 01.01.2019 01:00","42912","43131"
"01.01.2019 01:00 - 01.01.2019 01:15","42397","42825"
"01.01.2019 01:15 - 01.01.2019 01:30","41899","42321"
"01.01.2019 01:30 - 01.01.2019 01:45","41373","41846"
"01.01.2019 01:45 - 01.01.2019 02:00","41101","41284"
"01.01.2019 02:00 - 01.01.2019 02:15","40788","40996"
"01.01.2019 02:15 - 01.01.2019 02:30","40558","40607"
"01.01.2019 02:30 - 01.01.2019 02:45","40519","40331"
"01.01.2019 02:45 - 01.01.2019 03:00","40485","40098"
"01.01.2019 03:00 - 01.01.2019 03:15","40307","39967"
"01.01.2019 03:15 - 01.01.2019 03:30","40266","39621"
"01.01.2019 03:30 - 01.01.2019 03:45","40336","39589"
"01.01.2019 03:45 - 01.01.2019 04:00","40324","39553"
"01.01.2019 04:00 - 01.01.2019 04:15","40479","39547"
"01.01.2019 04:15 - 01.01.2019 04:30","40636","39482"
"01.01.2019 04:30 - 01.01.2019 04:45","40728","39438"
"01.01.2019 04:45 - 01.01.2019 05:00","40795","39283"
"01.01.2019 05:00 - 01.01.2019 05:15","41065","39304"
"01.01.2019 05:15 - 01.01.2019 05:30","40897","39024"
"01.01.2019 05:30 - 01.01.2019 05:45","40954","38947"
"01.01.2019 05:45 - 01.01.2019 06:00","40875","38635"
"01.01.2019 06:00 - 01.01.2019 06:15","40397","38288"
"01.01.2019 06:15 - 01.01.2019 06:30","40701","38303"
"01.01.2019 06:30 - 01.01.2019 06:45","40945","38470"
"01.01.2019 06:45 - 01.01.2019 07:00","41257","38769"
"01.01.2019 07:00 - 01.01.2019 07:15","41920","38890"
"01.01.2019 07:15 - 01.01.2019 07:30","42271","39118"
"01.01.2019 07:30 - 01.01.2019 07:45","43765","39181"
"01.01.2019 07:45 - 01.01.2019 08:00","44619","39524"
"01.01.2019 08:00 - 01.01.2019 08:15","45847","39586"
"01.01.2019 08:15 - 01.01.2019 08:30","45916","39731"
