"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"01.01.2017 00:00 - 01.01.2017 00:15","47220","54485"
"01.01.2017 00:15 - 01.01.2017 00:30","46684","54295"
"01.01.2017 00:30 - 01.01.2017 00:45","45836","54198"
"01.01.2017 00:45 - 01.01.2017 01:00","45428","53697"
"01.01.2017 01:00 - 01.01.2017 01:15","44765","53448"
"01.01.2017 01:15 - 01.01.2017 01:30","44266","52830"
"01.01.2017 01:30 - 01.01.2017 01:45","44083","52322"
"01.01.2017 01:45 - 01.01.2017 02:00","43647","51913"
"01.01.2017 02:00 - 01.01.2017 02:15","43400","51607"
"01.01.2017 02:15 - 01.01.2017 02:30","43394","51276"
"01.01.2017 02:30 - 01.01.2017 02:45","43185","50775"
"01.01.2017 02:45 - 01.01.2017 03:00","42725","50341"
"01.01.2017 03:00 - 01.01.2017 03:15","42713","49893"
"01.01.2017 03:15 - 01.01.2017 03:30","42813","49582"
"01.01.2017 03:30 - 01.01.2017 03:45","42825","49428"
"01.01.2017 03:45 - 01.01.2017 04:00","42812","49189"
"01.01.2017 04:00 - 01.01.2017 04:15","42946","49029"
"01.01.2017 04:15 - 01.01.2017 04:30","42947","48697"
"01.01.2017 04:30 - 01.01.2017 04:45","42573","48491"
"01.01.2017 04:45 - 01.01.2017 05:00","42812","48219"
"01.01.2017 05:00 - 01.01.2017 05:15","43124","48004"
"01.01.2017 05:15 - 01.01.2017 05:30","42484","47709"
"01.01.2017 05:30 - 01.01.2017 05:45","42375","47260"
"01.01.2017 05:45 - 01.01.2017 06:00","41743","47051"
"01.01.2017 06:00 - 01.01.2017 06:15","41405","46092"
"01.01.2017 06:15 - 01.01.2017 06:30","41010","46053"
"01.01.2017 06:30 - 01.01.2017 06:45","41159","46129"
"01.01.2017 06:45 - 01.01.2017 07:00","40617","46281"
"01.01.2017 07:00 - 01.01.2017 07:15","42739","46619"
"01.01.2017 07:15 - 01.01.2017 07:30","43309","46723"
"01.01.2017 07:30 - 01.01.2017 07:45","43272","46894"
"01.01.2017 07:45 - 01.01.2017 08:00","43984","47173"
"01.01.2017 08:00 - 01.01.2017 08:15","45827","47657"
"01.01.2017 08:15 - 01.01.2017 08:30","46606","47829"
