"MTU (CET/CEST)","Generation - Solar [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Solar [MW] Intraday / BZN|DE-AT-LU","Generation - Solar [MW] Current / BZN|DE-AT-LU","Generation - Wind Offshore [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-AT-LU","Generation - Wind Offshore [MW] Current / BZN|DE-AT-LU","Generation - Wind Onshore [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-AT-LU","Generation - Wind Onshore [MW] Current / BZN|DE-AT-LU"
"01.01.2017 00:00 - 01.01.2017 00:15","0","0","0","3201","3009","2966","13104","6636","6605"
"01.01.2017 00:15 - 01.01.2017 00:30","0","0","0","3200","3007","2965","13063","6614","6586"
"01.01.2017 00:30 - 01.01.2017 00:45","0","0","0","3202","3008","2963","13021","6595","6566"
"01.01.2017 00:45 - 01.01.2017 01:00","0","0","0","3202","3008","2963","12984","6572","6544"
"01.01.2017 01:00 - 01.01.2017 01:15","0","0","0","3189","3039","2997","12962","6078","6534"
"01.01.2017 01:15 - 01.01.2017 01:30","0","0","0","3186","3039","2989","12921","6044","6505"
"01.01.2017 01:30 - 01.01.2017 01:45","0","0","0","3184","3036","2989","12879","6044","6475"
"01.01.2017 01:45 - 01.01.2017 02:00","0","0","0","3181","3035","2982","12839","5836","6442"
"01.01.2017 02:00 - 01.01.2017 02:15","0","0","0","3176","3033","2977","12850","5794","6392"
"01.01.2017 02:15 - 01.01.2017 02:30","0","0","0","3179","3033","2971","12828","5733","6387"
"01.01.2017 02:30 - 01.01.2017 02:45","0","0","0","3178","3033","2968","12809","5703","6381"
"01.01.2017 02:45 - 01.01.2017 03:00","0","0","0","3176","3033","2964","12795","5700","6373"
"01.01.2017 03:00 - 01.01.2017 03:15","0","0","0","3179","3032","2962","12772","5682","6366"
"01.01.2017 03:15 - 01.01.2017 03:30","0","0","0","3175","3028","2958","12739","5660","6363"
"01.01.2017 03:30 - 01.01.2017 03:45","0","0","0","3171","3024","2958","12706","5643","6358"
"01.01.2017 03:45 - 01.01.2017 04:00","0","0","0","3166","3021","2958","12670","5726","6354"
"01.01.2017 04:00 - 01.01.2017 04:15","0","0","0","3162","2973","2956","12636","5825","6329"
"01.01.2017 04:15 - 01.01.2017 04:30","0","0","0","3161","2973","2952","12651","5856","6349"
"01.01.2017 04:30 - 01.01.2017 04:45","0","0","0","3162","2975","2948","12664","5876","6364"
"01.01.2017 04:45 - 01.01.2017 05:00","0","0","0","3160","2974","2946","12682","5861","6386"
"01.01.2017 05:00 - 01.01.2017 05:15","0","0","0","3163","2975","2943","12704","5861","6167"
"01.01.2017 05:15 - 01.01.2017 05:30","0","0","0","3161","2971","2934","12764","5883","6219"
"01.01.2017 05:30 - 01.01.2017 05:45","0","0","0","3162","2969","2930","12820","5911","6269"
"01.01.2017 05:45 - 01.01.2017 06:00","0","0","0","3163","2968","2934","12879","5922","6318"
"01.01.2017 06:00 - 01.01.2017 06:15","0","0","0","3166","2961","2925","12949","5882","6367"
"01.01.2017 06:15 - 01.01.2017 06:30","0","0","0","3168","2970","2931","12999","5966","6410"
"01.01.2017 06:30 - 01.01.2017 06:45","0","0","0","3173","2973","2928","13050","5798","6453"
"01.01.2017 06:45 - 01.01.2017 07:00","0","0","0","3176","2968","2912","13105","5778","6488"
"01.01.2017 07:00 - 01.01.2017 07:15","8","0","0","3171","2962","2885","13169","5840","6535"
"01.01.2017 07:15 - 01.01.2017 07:30","8","0","0","3141","2855","2836","13281","6119","6570"
"01.01.2017 07:30 - 01.01.2017 07:45","9","0","0","3116","2729","2796","13391","6218","6601"
"01.01.2017 07:45 - 01.01.2017 08:00","10","0","0","3088","2600","2766","13505","6266","6635"
"01.01.2017 08:00 - 01.01.2017 08:15","47","20","3","3058","2475","2710","13614","6403","6659"
"01.01.2017 08:15 - 01.01.2017 08:30","188","96","41","3022","2490","2595","13716","6456","6690"
"01.01.2017 08:30 - 01.01.2017 08:45","510","246","175","2994","2502","2516","13812","6527","6715"
"01.01.2017 08:45 - 01.01.2017 09:00","990","434","359","2968","2516","2474","13911","6328","6734"
"01.01.2017 09:00 - 01.01.2017 09:15","1607","642","498","2945","2536","2409","13984","6584","6741"
"01.01.2017 09:15 - 01.01.2017 09:30","2249","870","612","2920","2506","2347","14016","6594","6758"
"01.01.2017 09:30 - 01.01.2017 09:45","2953","1102","803","2889","2479","2216","14058","6599","6774"
"01.01.2017 09:45 - 01.01.2017 10:00","3671","1329","963","2861","2445","2132","14099","6609","6793"
"01.01.2017 10:00 - 01.01.2017 10:15","4395","1550","1157","2811","2103","2088","14120","6862","6837"
"01.01.2017 10:15 - 01.01.2017 10:30","5048","1765","1347","2711","2024","2028","14011","6789","6761"
"01.01.2017 10:30 - 01.01.2017 10:45","5684","1976","1552","2613","1951","1963","13898","6730","6691"
"01.01.2017 10:45 - 01.01.2017 11:00","6264","2181","1791","2513","1884","1921","13780","6667","6628"
"01.01.2017 11:00 - 01.01.2017 11:15","6765","2357","2045","2410","1819","1903","13655","6601","6128"
"01.01.2017 11:15 - 01.01.2017 11:30","7177","2497","2246","2321","1776","1873","13514","6540","6077"
"01.01.2017 11:30 - 01.01.2017 11:45","7530","2624","2391","2220","1735","1794","13387","6468","6020"
"01.01.2017 11:45 - 01.01.2017 12:00","7809","2728","2515","2116","1696","1695","13255","6400","5967"
"01.01.2017 12:00 - 01.01.2017 12:15","7981","2802","2645","2042","1662","1584","13120","6323","5897"
"01.01.2017 12:15 - 01.01.2017 12:30","8037","2845","2705","2019","1567","1509","12936","6238","5837"
"01.01.2017 12:30 - 01.01.2017 12:45","8008","2859","2776","1988","1467","1528","12755","6148","5781"
"01.01.2017 12:45 - 01.01.2017 13:00","7904","2848","2646","1950","1372","1537","12588","6060","5706"
"01.01.2017 13:00 - 01.01.2017 13:15","7687","2797","2591","1896","1275","1519","12457","5966","5648"
"01.01.2017 13:15 - 01.01.2017 13:30","7360","2692","2493","1838","1246","1472","12433","5879","5616"
"01.01.2017 13:30 - 01.01.2017 13:45","6930","2557","2385","1762","1213","1435","12430","5791","5581"
"01.01.2017 13:45 - 01.01.2017 14:00","6429","2390","2143","1699","1180","1311","12410","5705","5526"
"01.01.2017 14:00 - 01.01.2017 14:15","5850","2189","2026","1649","1143","1230","12420","5656","5476"
"01.01.2017 14:15 - 01.01.2017 14:30","5205","1964","1780","1623","1120","1131","12464","5554","5407"
"01.01.2017 14:30 - 01.01.2017 14:45","4514","1714","1561","1607","1099","1088","12490","5459","5343"
"01.01.2017 14:45 - 01.01.2017 15:00","3778","1444","1245","1579","1082","1038","12533","5363","5286"
"01.01.2017 15:00 - 01.01.2017 15:15","3022","1171","1010","1575","1060","974","12582","5266","5224"
"01.01.2017 15:15 - 01.01.2017 15:30","2272","900","753","1588","1026","864","12669","5225","5178"
"01.01.2017 15:30 - 01.01.2017 15:45","1566","625","519","1587","992","768","12768","5177","5131"
"01.01.2017 15:45 - 01.01.2017 16:00","897","341","294","1589","957","690","12850","5140","5078"
"01.01.2017 16:00 - 01.01.2017 16:15","408","132","88","1587","763","638","12938","5072","5002"
"01.01.2017 16:15 - 01.01.2017 16:30","150","46","6","1580","763","571","13012","4970","4899"
"01.01.2017 16:30 - 01.01.2017 16:45","66","21","0","1578","763","622","13078","4877","4802"
"01.01.2017 16:45 - 01.01.2017 17:00","16","7","0","1573","761","593","13165","4779","4711"
"01.01.2017 17:00 - 01.01.2017 17:15","8","0","0","1564","768","605","13244","4680","4134"
