"MTU","Scheduled Generation [MW] (D) - Germany (DE)","Scheduled Consumption [MW] (D) - Germany (DE)"
"01.01.2017 00:00 - 01.01.2017 01:00 (CET/CEST)","49532","0"
"01.01.2017 01:00 - 01.01.2017 02:00 (CET/CEST)","48163","0"
"01.01.2017 02:00 - 01.01.2017 03:00 (CET/CEST)","47322","0"
"01.01.2017 03:00 - 01.01.2017 04:00 (CET/CEST)","46593","0"
"01.01.2017 04:00 - 01.01.2017 05:00 (CET/CEST)","45888","0"
"01.01.2017 05:00 - 01.01.2017 06:00 (CET/CEST)","45454","0"
"01.01.2017 06:00 - 01.01.2017 07:00 (CET/CEST)","44598","0"
"01.01.2017 07:00 - 01.01.2017 08:00 (CET/CEST)","45434","0"
"01.01.2017 08:00 - 01.01.2017 09:00 (CET/CEST)","47392","0"
"01.01.2017 09:00 - 01.01.2017 10:00 (CET/CEST)","51732","0"
"01.01.2017 10:00 - 01.01.2017 11:00 (CET/CEST)","55255","0"
"01.01.2017 11:00 - 01.01.2017 12:00 (CET/CEST)","58455","0"
"01.01.2017 12:00 - 01.01.2017 13:00 (CET/CEST)","58555","0"
"01.01.2017 13:00 - 01.01.2017 14:00 (CET/CEST)","56260","0"
"01.01.2017 14:00 - 01.01.2017 15:00 (CET/CEST)","52683","0"
"01.01.2017 15:00 - 01.01.2017 16:00 (CET/CEST)","50429","0"
"01.01.2017 16:00 - 01.01.2017 17:00 (CET/CEST)","51272","0"
"01.01.2017 17:00 - 01.01.2017 18:00 (CET/CEST)","54519","0"
"01.01.2017 18:00 - 01.01.2017 19:00 (CET/CEST)","54597","0"
"01.01.2017 19:00 - 01.01.2017 20:00 (CET/CEST)","54994","0"
"01.01.2017 20:00 - 01.01.2017 21:00 (CET/CEST)","53339","0"
"01.01.2017 21:00 - 01.01.2017 22:00 (CET/CEST)","51811","0"
"01.01.2017 22:00 - 01.01.2017 23:00 (CET/CEST)","50866","0"
"01.01.2017 23:00 - 02.01.2017 00:00 (CET/CEST)","49050","0"
"02.01.2017 00:00 - 02.01.2017 01:00 (CET/CEST)","45909","0"
"02.01.2017 01:00 - 02.01.2017 02:00 (CET/CEST)","45172","0"
"02.01.2017 02:00 - 02.01.2017 03:00 (CET/CEST)","45587","0"
"02.01.2017 03:00 - 02.01.2017 04:00 (CET/CEST)","45946","0"
"02.01.2017 04:00 - 02.01.2017 05:00 (CET/CEST)","47312","0"
"02.01.2017 05:00 - 02.01.2017 06:00 (CET/CEST)","49491","0"
"02.01.2017 06:00 - 02.01.2017 07:00 (CET/CEST)","55546","0"
"02.01.2017 07:00 - 02.01.2017 08:00 (CET/CEST)","61645","0"
"02.01.2017 08:00 - 02.01.2017 09:00 (CET/CEST)","65569","0"
"02.01.2017 09:00 - 02.01.2017 10:00 (CET/CEST)","66930","0"
"02.01.2017 10:00 - 02.01.2017 11:00 (CET/CEST)","67703","0"
"02.01.2017 11:00 - 02.01.2017 12:00 (CET/CEST)","68335","0"
"02.01.2017 12:00 - 02.01.2017 13:00 (CET/CEST)","68582","0"
"02.01.2017 13:00 - 02.01.2017 14:00 (CET/CEST)","67955","0"
"02.01.2017 14:00 - 02.01.2017 15:00 (CET/CEST)","66307","0"
"02.01.2017 15:00 - 02.01.2017 16:00 (CET/CEST)","65988","0"
"02.01.2017 16:00 - 02.01.2017 17:00 (CET/CEST)","66822","0"
"02.01.2017 17:00 - 02.01.2017 18:00 (CET/CEST)","68279","0"
"02.01.2017 18:00 - 02.01.2017 19:00 (CET/CEST)","68489","0"
"02.01.2017 19:00 - 02.01.2017 20:00 (CET/CEST)","67918","0"
"02.01.2017 20:00 - 02.01.2017 21:00 (CET/CEST)","64541","0"
"02.01.2017 21:00 - 02.01.2017 22:00 (CET/CEST)","61239","0"
"02.01.2017 22:00 - 02.01.2017 23:00 (CET/CEST)","58651","0"
"02.01.2017 23:00 - 03.01.2017 00:00 (CET/CEST)","53931","0"
"03.01.2017 00:00 - 03.01.2017 01:00 (CET/CEST)","51513","0"
"03.01.2017 01:00 - 03.01.2017 02:00 (CET/CEST)","49999","0"
"03.01.2017 02:00 - 03.01.2017 03:00 (CET/CEST)","49276","0"
"03.01.2017 03:00 - 03.01.2017 04:00 (CET/CEST)","50461","0"
"03.01.2017 04:00 - 03.01.2017 05:00 (CET/CEST)","50887","0"
"03.01.2017 05:00 - 03.01.2017 06:00 (CET/CEST)","52485","0"
"03.01.2017 06:00 - 03.01.2017 07:00 (CET/CEST)","58813","0"
"03.01.2017 07:00 - 03.01.2017 08:00 (CET/CEST)","64845","0"
"03.01.2017 08:00 - 03.01.2017 09:00 (CET/CEST)","68421","0"
"03.01.2017 09:00 - 03.01.2017 10:00 (CET/CEST)","69336","0"
"03.01.2017 10:00 - 03.01.2017 11:00 (CET/CEST)","70087","0"
"03.01.2017 11:00 - 03.01.2017 12:00 (CET/CEST)","70566","0"
"03.01.2017 12:00 - 03.01.2017 13:00 (CET/CEST)","71736","0"
"03.01.2017 13:00 - 03.01.2017 14:00 (CET/CEST)","71061","0"
"03.01.2017 14:00 - 03.01.2017 15:00 (CET/CEST)","69821","0"
"03.01.2017 15:00 - 03.01.2017 16:00 (CET/CEST)","69877","0"
"03.01.2017 16:00 - 03.01.2017 17:00 (CET/CEST)","70173","0"
"03.01.2017 17:00 - 03.01.2017 18:00 (CET/CEST)","72828","0"
"03.01.2017 18:00 - 03.01.2017 19:00 (CET/CEST)","72841","0"
"03.01.2017 19:00 - 03.01.2017 20:00 (CET/CEST)","72438","0"
"03.01.2017 20:00 - 03.01.2017 21:00 (CET/CEST)","69990","0"
"03.01.2017 21:00 - 03.01.2017 22:00 (CET/CEST)","67351","0"
"03.01.2017 22:00 - 03.01.2017 23:00 (CET/CEST)","65380","0"
"03.01.2017 23:00 - 04.01.2017 00:00 (CET/CEST)","61945","0"
"04.01.2017 00:00 - 04.01.2017 01:00 (CET/CEST)","59354","0"
"04.01.2017 01:00 - 04.01.2017 02:00 (CET/CEST)","57664","0"
"04.01.2017 02:00 - 04.01.2017 03:00 (CET/CEST)","57953","0"
"04.01.2017 03:00 - 04.01.2017 04:00 (CET/CEST)","58072","0"
"04.01.2017 04:00 - 04.01.2017 05:00 (CET/CEST)","58416","0"
"04.01.2017 05:00 - 04.01.2017 06:00 (CET/CEST)","60689","0"
"04.01.2017 06:00 - 04.01.2017 07:00 (CET/CEST)","66405","0"
"04.01.2017 07:00 - 04.01.2017 08:00 (CET/CEST)","71021","0"
"04.01.2017 08:00 - 04.01.2017 09:00 (CET/CEST)","73278","0"
"04.01.2017 09:00 - 04.01.2017 10:00 (CET/CEST)","73695","0"
"04.01.2017 10:00 - 04.01.2017 11:00 (CET/CEST)","74614","0"
"04.01.2017 11:00 - 04.01.2017 12:00 (CET/CEST)","75209","0"
"04.01.2017 12:00 - 04.01.2017 13:00 (CET/CEST)","74759","0"
"04.01.2017 13:00 - 04.01.2017 14:00 (CET/CEST)","74219","0"
"04.01.2017 14:00 - 04.01.2017 15:00 (CET/CEST)","72562","0"
"04.01.2017 15:00 - 04.01.2017 16:00 (CET/CEST)","71156","0"
"04.01.2017 16:00 - 04.01.2017 17:00 (CET/CEST)","70437","0"
"04.01.2017 17:00 - 04.01.2017 18:00 (CET/CEST)","70940","0"
"04.01.2017 18:00 - 04.01.2017 19:00 (CET/CEST)","70647","0"
"04.01.2017 19:00 - 04.01.2017 20:00 (CET/CEST)","69218","0"
"04.01.2017 20:00 - 04.01.2017 21:00 (CET/CEST)","65897","0"
"04.01.2017 21:00 - 04.01.2017 22:00 (CET/CEST)","62244","0"
"04.01.2017 22:00 - 04.01.2017 23:00 (CET/CEST)","59182","0"
"04.01.2017 23:00 - 05.01.2017 00:00 (CET/CEST)","56185","0"
"05.01.2017 00:00 - 05.01.2017 01:00 (CET/CEST)","56194","0"
"05.01.2017 01:00 - 05.01.2017 02:00 (CET/CEST)","53530","0"
"05.01.2017 02:00 - 05.01.2017 03:00 (CET/CEST)","50652","0"
"05.01.2017 03:00 - 05.01.2017 04:00 (CET/CEST)","50264","0"
"05.01.2017 04:00 - 05.01.2017 05:00 (CET/CEST)","52872","0"
"05.01.2017 05:00 - 05.01.2017 06:00 (CET/CEST)","55249","0"
"05.01.2017 06:00 - 05.01.2017 07:00 (CET/CEST)","62242","0"
"05.01.2017 07:00 - 05.01.2017 08:00 (CET/CEST)","67333","0"
"05.01.2017 08:00 - 05.01.2017 09:00 (CET/CEST)","70297","0"
"05.01.2017 09:00 - 05.01.2017 10:00 (CET/CEST)","70092","0"
"05.01.2017 10:00 - 05.01.2017 11:00 (CET/CEST)","70249","0"
"05.01.2017 11:00 - 05.01.2017 12:00 (CET/CEST)","71136","0"
"05.01.2017 12:00 - 05.01.2017 13:00 (CET/CEST)","71829","0"
"05.01.2017 13:00 - 05.01.2017 14:00 (CET/CEST)","71303","0"
"05.01.2017 14:00 - 05.01.2017 15:00 (CET/CEST)","69707","0"
"05.01.2017 15:00 - 05.01.2017 16:00 (CET/CEST)","69052","0"
"05.01.2017 16:00 - 05.01.2017 17:00 (CET/CEST)","69397","0"
"05.01.2017 17:00 - 05.01.2017 18:00 (CET/CEST)","69846","0"
"05.01.2017 18:00 - 05.01.2017 19:00 (CET/CEST)","69691","0"
"05.01.2017 19:00 - 05.01.2017 20:00 (CET/CEST)","68900","0"
"05.01.2017 20:00 - 05.01.2017 21:00 (CET/CEST)","66462","0"
"05.01.2017 21:00 - 05.01.2017 22:00 (CET/CEST)","61980","0"
"05.01.2017 22:00 - 05.01.2017 23:00 (CET/CEST)","60966","0"
"05.01.2017 23:00 - 06.01.2017 00:00 (CET/CEST)","55560","0"
"06.01.2017 00:00 - 06.01.2017 01:00 (CET/CEST)","53528","0"
"06.01.2017 01:00 - 06.01.2017 02:00 (CET/CEST)","51582","0"
"06.01.2017 02:00 - 06.01.2017 03:00 (CET/CEST)","51074","0"
"06.01.2017 03:00 - 06.01.2017 04:00 (CET/CEST)","49893","0"
"06.01.2017 04:00 - 06.01.2017 05:00 (CET/CEST)","50058","0"
"06.01.2017 05:00 - 06.01.2017 06:00 (CET/CEST)","53401","0"
"06.01.2017 06:00 - 06.01.2017 07:00 (CET/CEST)","57842","0"
"06.01.2017 07:00 - 06.01.2017 08:00 (CET/CEST)","61547","0"
