"MTU","Scheduled Generation [MW] (D) - Germany (DE)","Scheduled Consumption [MW] (D) - Germany (DE)"
"01.01.2019 00:00 - 01.01.2019 01:00 (CET/CEST)","51011",""
"01.01.2019 01:00 - 01.01.2019 02:00 (CET/CEST)","51017",""
"01.01.2019 02:00 - 01.01.2019 03:00 (CET/CEST)","51438",""
"01.01.2019 03:00 - 01.01.2019 04:00 (CET/CEST)","52608",""
"01.01.2019 04:00 - 01.01.2019 05:00 (CET/CEST)","53566",""
"01.01.2019 05:00 - 01.01.2019 06:00 (CET/CEST)","54081",""
"01.01.2019 06:00 - 01.01.2019 07:00 (CET/CEST)","54982",""
"01.01.2019 07:00 - 01.01.2019 08:00 (CET/CEST)","56258",""
"01.01.2019 08:00 - 01.01.2019 09:00 (CET/CEST)","57801",""
"01.01.2019 09:00 - 01.01.2019 10:00 (CET/CEST)","60081",""
"01.01.2019 10:00 - 01.01.2019 11:00 (CET/CEST)","63527",""
"01.01.2019 11:00 - 01.01.2019 12:00 (CET/CEST)","65824",""
"01.01.2019 12:00 - 01.01.2019 13:00 (CET/CEST)","65804",""
"01.01.2019 13:00 - 01.01.2019 14:00 (CET/CEST)","64788",""
"01.01.2019 14:00 - 01.01.2019 15:00 (CET/CEST)","62865",""
"01.01.2019 15:00 - 01.01.2019 16:00 (CET/CEST)","63459",""
"01.01.2019 16:00 - 01.01.2019 17:00 (CET/CEST)","65936",""
"01.01.2019 17:00 - 01.01.2019 18:00 (CET/CEST)","68300",""
"01.01.2019 18:00 - 01.01.2019 19:00 (CET/CEST)","68267",""
"01.01.2019 19:00 - 01.01.2019 20:00 (CET/CEST)","67357",""
"01.01.2019 20:00 - 01.01.2019 21:00 (CET/CEST)","65466",""
"01.01.2019 21:00 - 01.01.2019 22:00 (CET/CEST)","64075",""
"01.01.2019 22:00 - 01.01.2019 23:00 (CET/CEST)","63384",""
"01.01.2019 23:00 - 02.01.2019 00:00 (CET/CEST)","61581",""
"02.01.2019 00:00 - 02.01.2019 01:00 (CET/CEST)","58467",""
"02.01.2019 01:00 - 02.01.2019 02:00 (CET/CEST)","56989",""
"02.01.2019 02:00 - 02.01.2019 03:00 (CET/CEST)","56991",""
"02.01.2019 03:00 - 02.01.2019 04:00 (CET/CEST)","56824",""
"02.01.2019 04:00 - 02.01.2019 05:00 (CET/CEST)","56756",""
"02.01.2019 05:00 - 02.01.2019 06:00 (CET/CEST)","58902",""
"02.01.2019 06:00 - 02.01.2019 07:00 (CET/CEST)","64074",""
"02.01.2019 07:00 - 02.01.2019 08:00 (CET/CEST)","69349",""
"02.01.2019 08:00 - 02.01.2019 09:00 (CET/CEST)","72188",""
"02.01.2019 09:00 - 02.01.2019 10:00 (CET/CEST)","73375",""
"02.01.2019 10:00 - 02.01.2019 11:00 (CET/CEST)","74359",""
"02.01.2019 11:00 - 02.01.2019 12:00 (CET/CEST)","75452",""
"02.01.2019 12:00 - 02.01.2019 13:00 (CET/CEST)","75231",""
"02.01.2019 13:00 - 02.01.2019 14:00 (CET/CEST)","74144",""
"02.01.2019 14:00 - 02.01.2019 15:00 (CET/CEST)","71069",""
"02.01.2019 15:00 - 02.01.2019 16:00 (CET/CEST)","67604",""
"02.01.2019 16:00 - 02.01.2019 17:00 (CET/CEST)","67709",""
"02.01.2019 17:00 - 02.01.2019 18:00 (CET/CEST)","67879",""
"02.01.2019 18:00 - 02.01.2019 19:00 (CET/CEST)","67201",""
"02.01.2019 19:00 - 02.01.2019 20:00 (CET/CEST)","66533",""
"02.01.2019 20:00 - 02.01.2019 21:00 (CET/CEST)","63421",""
"02.01.2019 21:00 - 02.01.2019 22:00 (CET/CEST)","59971",""
"02.01.2019 22:00 - 02.01.2019 23:00 (CET/CEST)","58546",""
"02.01.2019 23:00 - 03.01.2019 00:00 (CET/CEST)","55635",""
"03.01.2019 00:00 - 03.01.2019 01:00 (CET/CEST)","54458",""
"03.01.2019 01:00 - 03.01.2019 02:00 (CET/CEST)","53993",""
"03.01.2019 02:00 - 03.01.2019 03:00 (CET/CEST)","53231",""
"03.01.2019 03:00 - 03.01.2019 04:00 (CET/CEST)","52275",""
"03.01.2019 04:00 - 03.01.2019 05:00 (CET/CEST)","53173",""
"03.01.2019 05:00 - 03.01.2019 06:00 (CET/CEST)","56610",""
"03.01.2019 06:00 - 03.01.2019 07:00 (CET/CEST)","62867",""
