"Time (CET/CEST)","Switzerland (CH) > Germany (DE) [MW]","Germany (DE) > Switzerland (CH) [MW]"
"01.01.2017 00:00 - 01.01.2017 01:00","0","2387"
"01.01.2017 01:00 - 01.01.2017 02:00","0","2507"
"01.01.2017 02:00 - 01.01.2017 03:00","0","2936"
"01.01.2017 03:00 - 01.01.2017 04:00","0","3213"
"01.01.2017 04:00 - 01.01.2017 05:00","0","3417"
"01.01.2017 05:00 - 01.01.2017 06:00","0","3310"
"01.01.2017 06:00 - 01.01.2017 07:00","0","3112"
"01.01.2017 07:00 - 01.01.2017 08:00","0","3205"
"01.01.2017 08:00 - 01.01.2017 09:00","0","3540"
"01.01.2017 09:00 - 01.01.2017 10:00","0","3689"
"01.01.2017 10:00 - 01.01.2017 11:00","0","3574"
"01.01.2017 11:00 - 01.01.2017 12:00","0","3106"
"01.01.2017 12:00 - 01.01.2017 13:00","0","2873"
"01.01.2017 13:00 - 01.01.2017 14:00","0","2738"
"01.01.2017 14:00 - 01.01.2017 15:00","0","2667"
"01.01.2017 15:00 - 01.01.2017 16:00","0","2680"
"01.01.2017 16:00 - 01.01.2017 17:00","0","2520"
"01.01.2017 17:00 - 01.01.2017 18:00","0","2776"
"01.01.2017 18:00 - 01.01.2017 19:00","0","2374"
"01.01.2017 19:00 - 01.01.2017 20:00","0","2123"
"01.01.2017 20:00 - 01.01.2017 21:00","0","2476"
"01.01.2017 21:00 - 01.01.2017 22:00","0","2595"
"01.01.2017 22:00 - 01.01.2017 23:00","0","2464"
"01.01.2017 23:00 - 02.01.2017 00:00","0","2744"
"02.01.2017 00:00 - 02.01.2017 01:00","0","2105"
"02.01.2017 01:00 - 02.01.2017 02:00","0","2514"
"02.01.2017 02:00 - 02.01.2017 03:00","0","2613"
"02.01.2017 03:00 - 02.01.2017 04:00","0","2751"
"02.01.2017 04:00 - 02.01.2017 05:00","0","2842"
"02.01.2017 05:00 - 02.01.2017 06:00","0","2880"
"02.01.2017 06:00 - 02.01.2017 07:00","0","2658"
"02.01.2017 07:00 - 02.01.2017 08:00","0","2315"
"02.01.2017 08:00 - 02.01.2017 09:00","0","2087"
"02.01.2017 09:00 - 02.01.2017 10:00","0","2268"
"02.01.2017 10:00 - 02.01.2017 11:00","0","2043"
"02.01.2017 11:00 - 02.01.2017 12:00","0","1775"
"02.01.2017 12:00 - 02.01.2017 13:00","0","1769"
"02.01.2017 13:00 - 02.01.2017 14:00","0","1371"
"02.01.2017 14:00 - 02.01.2017 15:00","0","1729"
"02.01.2017 15:00 - 02.01.2017 16:00","0","2171"
"02.01.2017 16:00 - 02.01.2017 17:00","0","2342"
"02.01.2017 17:00 - 02.01.2017 18:00","0","1642"
"02.01.2017 18:00 - 02.01.2017 19:00","0","1478"
"02.01.2017 19:00 - 02.01.2017 20:00","0","1808"
"02.01.2017 20:00 - 02.01.2017 21:00","0","2262"
"02.01.2017 21:00 - 02.01.2017 22:00","0","2701"
"02.01.2017 22:00 - 02.01.2017 23:00","0","2849"
"02.01.2017 23:00 - 03.01.2017 00:00","0","2457"
"03.01.2017 00:00 - 03.01.2017 01:00","0","2331"
"03.01.2017 01:00 - 03.01.2017 02:00","0","2543"
"03.01.2017 02:00 - 03.01.2017 03:00","0","2767"
"03.01.2017 03:00 - 03.01.2017 04:00","0","3150"
"03.01.2017 04:00 - 03.01.2017 05:00","0","3052"
"03.01.2017 05:00 - 03.01.2017 06:00","0","2762"
"03.01.2017 06:00 - 03.01.2017 07:00","0","2594"
"03.01.2017 07:00 - 03.01.2017 08:00","0","1933"
"03.01.2017 08:00 - 03.01.2017 09:00","0","1675"
"03.01.2017 09:00 - 03.01.2017 10:00","0","1550"
"03.01.2017 10:00 - 03.01.2017 11:00","0","1511"
"03.01.2017 11:00 - 03.01.2017 12:00","0","1334"
"03.01.2017 12:00 - 03.01.2017 13:00","0","1281"
"03.01.2017 13:00 - 03.01.2017 14:00","0","1258"
"03.01.2017 14:00 - 03.01.2017 15:00","0","1369"
"03.01.2017 15:00 - 03.01.2017 16:00","0","1368"
"03.01.2017 16:00 - 03.01.2017 17:00","0","1354"
"03.01.2017 17:00 - 03.01.2017 18:00","0","1059"
"03.01.2017 18:00 - 03.01.2017 19:00","0","845"
"03.01.2017 19:00 - 03.01.2017 20:00","0","1012"
"03.01.2017 20:00 - 03.01.2017 21:00","0","1594"
"03.01.2017 21:00 - 03.01.2017 22:00","0","1624"
"03.01.2017 22:00 - 03.01.2017 23:00","0","1829"
"03.01.2017 23:00 - 04.01.2017 00:00","0","1575"
"04.01.2017 00:00 - 04.01.2017 01:00","0","2021"
"04.01.2017 01:00 - 04.01.2017 02:00","0","2349"
"04.01.2017 02:00 - 04.01.2017 03:00","0","2466"
"04.01.2017 03:00 - 04.01.2017 04:00","0","2800"
"04.01.2017 04:00 - 04.01.2017 05:00","0","2697"
"04.01.2017 05:00 - 04.01.2017 06:00","0","2227"
"04.01.2017 06:00 - 04.01.2017 07:00","0","2369"
"04.01.2017 07:00 - 04.01.2017 08:00","0","1768"
"04.01.2017 08:00 - 04.01.2017 09:00","0","1631"
"04.01.2017 09:00 - 04.01.2017 10:00","0","1433"
"04.01.2017 10:00 - 04.01.2017 11:00","0","1416"
"04.01.2017 11:00 - 04.01.2017 12:00","0","1271"
"04.01.2017 12:00 - 04.01.2017 13:00","0","1110"
"04.01.2017 13:00 - 04.01.2017 14:00","0","1279"
"04.01.2017 14:00 - 04.01.2017 15:00","0","1548"
"04.01.2017 15:00 - 04.01.2017 16:00","0","1621"
"04.01.2017 16:00 - 04.01.2017 17:00","0","1753"
"04.01.2017 17:00 - 04.01.2017 18:00","0","1394"
"04.01.2017 18:00 - 04.01.2017 19:00","0","1110"
"04.01.2017 19:00 - 04.01.2017 20:00","0","1075"
"04.01.2017 20:00 - 04.01.2017 21:00","0","1220"
"04.01.2017 21:00 - 04.01.2017 22:00","0","1713"
"04.01.2017 22:00 - 04.01.2017 23:00","0","1748"
"04.01.2017 23:00 - 05.01.2017 00:00","0","2415"
"05.01.2017 00:00 - 05.01.2017 01:00","0","3349"
"05.01.2017 01:00 - 05.01.2017 02:00","0","3523"
"05.01.2017 02:00 - 05.01.2017 03:00","0","2897"
"05.01.2017 03:00 - 05.01.2017 04:00","0","3011"
"05.01.2017 04:00 - 05.01.2017 05:00","0","3754"
"05.01.2017 05:00 - 05.01.2017 06:00","0","3966"
"05.01.2017 06:00 - 05.01.2017 07:00","0","3601"
"05.01.2017 07:00 - 05.01.2017 08:00","0","2338"
"05.01.2017 08:00 - 05.01.2017 09:00","0","2188"
"05.01.2017 09:00 - 05.01.2017 10:00","0","1878"
"05.01.2017 10:00 - 05.01.2017 11:00","0","1936"
"05.01.2017 11:00 - 05.01.2017 12:00","0","1783"
"05.01.2017 12:00 - 05.01.2017 13:00","0","2084"
"05.01.2017 13:00 - 05.01.2017 14:00","0","2100"
"05.01.2017 14:00 - 05.01.2017 15:00","0","2206"
"05.01.2017 15:00 - 05.01.2017 16:00","0","2089"
"05.01.2017 16:00 - 05.01.2017 17:00","0","1865"
"05.01.2017 17:00 - 05.01.2017 18:00","0","993"
"05.01.2017 18:00 - 05.01.2017 19:00","0","1061"
"05.01.2017 19:00 - 05.01.2017 20:00","0","1451"
"05.01.2017 20:00 - 05.01.2017 21:00","0","2239"
"05.01.2017 21:00 - 05.01.2017 22:00","0","2489"
"05.01.2017 22:00 - 05.01.2017 23:00","0","2915"
"05.01.2017 23:00 - 06.01.2017 00:00","0","2374"
"06.01.2017 00:00 - 06.01.2017 01:00","0","2782"
"06.01.2017 01:00 - 06.01.2017 02:00","0","2946"
"06.01.2017 02:00 - 06.01.2017 03:00","0","3447"
"06.01.2017 03:00 - 06.01.2017 04:00","0","3503"
"06.01.2017 04:00 - 06.01.2017 05:00","0","3663"
"06.01.2017 05:00 - 06.01.2017 06:00","0","3835"
"06.01.2017 06:00 - 06.01.2017 07:00","0","3472"
"06.01.2017 07:00 - 06.01.2017 08:00","0","2472"
"06.01.2017 08:00 - 06.01.2017 09:00","0","2120"
"06.01.2017 09:00 - 06.01.2017 10:00","0","2320"
"06.01.2017 10:00 - 06.01.2017 11:00","0","2525"
"06.01.2017 11:00 - 06.01.2017 12:00","0","2642"
"06.01.2017 12:00 - 06.01.2017 13:00","0","2698"
"06.01.2017 13:00 - 06.01.2017 14:00","0","3050"
"06.01.2017 14:00 - 06.01.2017 15:00","0","3150"
"06.01.2017 15:00 - 06.01.2017 16:00","0","3130"
"06.01.2017 16:00 - 06.01.2017 17:00","0","2950"
"06.01.2017 17:00 - 06.01.2017 18:00","0","2395"
"06.01.2017 18:00 - 06.01.2017 19:00","0","2032"
"06.01.2017 19:00 - 06.01.2017 20:00","0","2094"
"06.01.2017 20:00 - 06.01.2017 21:00","0","2288"
"06.01.2017 21:00 - 06.01.2017 22:00","0","2394"
"06.01.2017 22:00 - 06.01.2017 23:00","0","2293"
"06.01.2017 23:00 - 07.01.2017 00:00","0","2237"
"07.01.2017 00:00 - 07.01.2017 01:00","0","2633"
"07.01.2017 01:00 - 07.01.2017 02:00","0","2636"
"07.01.2017 02:00 - 07.01.2017 03:00","0","3020"
"07.01.2017 03:00 - 07.01.2017 04:00","0","3432"
"07.01.2017 04:00 - 07.01.2017 05:00","0","3483"
"07.01.2017 05:00 - 07.01.2017 06:00","0","3387"
"07.01.2017 06:00 - 07.01.2017 07:00","0","3060"
"07.01.2017 07:00 - 07.01.2017 08:00","0","3114"
"07.01.2017 08:00 - 07.01.2017 09:00","0","3112"
"07.01.2017 09:00 - 07.01.2017 10:00","0","2705"
"07.01.2017 10:00 - 07.01.2017 11:00","0","2385"
"07.01.2017 11:00 - 07.01.2017 12:00","0","2437"
"07.01.2017 12:00 - 07.01.2017 13:00","0","2549"
"07.01.2017 13:00 - 07.01.2017 14:00","0","2619"
"07.01.2017 14:00 - 07.01.2017 15:00","0","3153"
"07.01.2017 15:00 - 07.01.2017 16:00","0","3420"
"07.01.2017 16:00 - 07.01.2017 17:00","0","3521"
"07.01.2017 17:00 - 07.01.2017 18:00","0","2573"
"07.01.2017 18:00 - 07.01.2017 19:00","0","2239"
"07.01.2017 19:00 - 07.01.2017 20:00","0","2301"
"07.01.2017 20:00 - 07.01.2017 21:00","0","2629"
"07.01.2017 21:00 - 07.01.2017 22:00","0","2958"
"07.01.2017 22:00 - 07.01.2017 23:00","0","3106"
"07.01.2017 23:00 - 08.01.2017 00:00","0","2934"
"08.01.2017 00:00 - 08.01.2017 01:00","0","3200"
"08.01.2017 01:00 - 08.01.2017 02:00","0","3336"
"08.01.2017 02:00 - 08.01.2017 03:00","0","3532"
"08.01.2017 03:00 - 08.01.2017 04:00","0","4170"
"08.01.2017 04:00 - 08.01.2017 05:00","0","4227"
"08.01.2017 05:00 - 08.01.2017 06:00","0","4150"
"08.01.2017 06:00 - 08.01.2017 07:00","0","4351"
"08.01.2017 07:00 - 08.01.2017 08:00","0","4187"
"08.01.2017 08:00 - 08.01.2017 09:00","0","4195"
"08.01.2017 09:00 - 08.01.2017 10:00","0","3472"
"08.01.2017 10:00 - 08.01.2017 11:00","0","2990"
"08.01.2017 11:00 - 08.01.2017 12:00","0","2696"
"08.01.2017 12:00 - 08.01.2017 13:00","0","2093"
"08.01.2017 13:00 - 08.01.2017 14:00","0","2418"
"08.01.2017 14:00 - 08.01.2017 15:00","0","2806"
"08.01.2017 15:00 - 08.01.2017 16:00","0","3098"
"08.01.2017 16:00 - 08.01.2017 17:00","0","3043"
"08.01.2017 17:00 - 08.01.2017 18:00","0","2459"
"08.01.2017 18:00 - 08.01.2017 19:00","0","1922"
"08.01.2017 19:00 - 08.01.2017 20:00","0","1872"
"08.01.2017 20:00 - 08.01.2017 21:00","0","2625"
"08.01.2017 21:00 - 08.01.2017 22:00","0","2820"
"08.01.2017 22:00 - 08.01.2017 23:00","0","2380"
"08.01.2017 23:00 - 09.01.2017 00:00","0","2671"
"09.01.2017 00:00 - 09.01.2017 01:00","0","2510"
"09.01.2017 01:00 - 09.01.2017 02:00","0","3130"
"09.01.2017 02:00 - 09.01.2017 03:00","0","3428"
"09.01.2017 03:00 - 09.01.2017 04:00","0","3839"
"09.01.2017 04:00 - 09.01.2017 05:00","0","3855"
"09.01.2017 05:00 - 09.01.2017 06:00","0","4016"
"09.01.2017 06:00 - 09.01.2017 07:00","0","2810"
"09.01.2017 07:00 - 09.01.2017 08:00","0","1969"
"09.01.2017 08:00 - 09.01.2017 09:00","0","1772"
"09.01.2017 09:00 - 09.01.2017 10:00","0","1724"
"09.01.2017 10:00 - 09.01.2017 11:00","0","1715"
"09.01.2017 11:00 - 09.01.2017 12:00","0","1708"
"09.01.2017 12:00 - 09.01.2017 13:00","0","1471"
"09.01.2017 13:00 - 09.01.2017 14:00","0","1637"
"09.01.2017 14:00 - 09.01.2017 15:00","0","2107"
"09.01.2017 15:00 - 09.01.2017 16:00","0","2365"
"09.01.2017 16:00 - 09.01.2017 17:00","0","2672"
"09.01.2017 17:00 - 09.01.2017 18:00","0","2513"
"09.01.2017 18:00 - 09.01.2017 19:00","0","2181"
"09.01.2017 19:00 - 09.01.2017 20:00","0","2217"
"09.01.2017 20:00 - 09.01.2017 21:00","0","2369"
