"Time (CET/CEST)","Luxembourg (LU) > Germany (DE) [MW]","Germany (DE) > Luxembourg (LU) [MW]"
"01.01.2017 00:00 - 01.01.2017 01:00","n/e","n/e"
"01.01.2017 01:00 - 01.01.2017 02:00","n/e","n/e"
"01.01.2017 02:00 - 01.01.2017 03:00","n/e","n/e"
"01.01.2017 03:00 - 01.01.2017 04:00","n/e","n/e"
"01.01.2017 04:00 - 01.01.2017 05:00","n/e","n/e"
"01.01.2017 05:00 - 01.01.2017 06:00","n/e","n/e"
"01.01.2017 06:00 - 01.01.2017 07:00","n/e","n/e"
"01.01.2017 07:00 - 01.01.2017 08:00","n/e","n/e"
"01.01.2017 08:00 - 01.01.2017 09:00","n/e","n/e"
"01.01.2017 09:00 - 01.01.2017 10:00","n/e","n/e"
"01.01.2017 10:00 - 01.01.2017 11:00","n/e","n/e"
"01.01.2017 11:00 - 01.01.2017 12:00","n/e","n/e"
"01.01.2017 12:00 - 01.01.2017 13:00","n/e","n/e"
"01.01.2017 13:00 - 01.01.2017 14:00","n/e","n/e"
"01.01.2017 14:00 - 01.01.2017 15:00","n/e","n/e"
"01.01.2017 15:00 - 01.01.2017 16:00","n/e","n/e"
"01.01.2017 16:00 - 01.01.2017 17:00","n/e","n/e"
"01.01.2017 17:00 - 01.01.2017 18:00","n/e","n/e"
"01.01.2017 18:00 - 01.01.2017 19:00","n/e","n/e"
"01.01.2017 19:00 - 01.01.2017 20:00","n/e","n/e"
"01.01.2017 20:00 - 01.01.2017 21:00","n/e","n/e"
"01.01.2017 21:00 - 01.01.2017 22:00","n/e","n/e"
"01.01.2017 22:00 - 01.01.2017 23:00","n/e","n/e"
"01.01.2017 23:00 - 02.01.2017 00:00","n/e","n/e"
"02.01.2017 00:00 - 02.01.2017 01:00","n/e","n/e"
"02.01.2017 01:00 - 02.01.2017 02:00","n/e","n/e"
"02.01.2017 02:00 - 02.01.2017 03:00","n/e","n/e"
"02.01.2017 03:00 - 02.01.2017 04:00","n/e","n/e"
"02.01.2017 04:00 - 02.01.2017 05:00","n/e","n/e"
"02.01.2017 05:00 - 02.01.2017 06:00","n/e","n/e"
"02.01.2017 06:00 - 02.01.2017 07:00","n/e","n/e"
"02.01.2017 07:00 - 02.01.2017 08:00","n/e","n/e"
"02.01.2017 08:00 - 02.01.2017 09:00","n/e","n/e"
"02.01.2017 09:00 - 02.01.2017 10:00","n/e","n/e"
"02.01.2017 10:00 - 02.01.2017 11:00","n/e","n/e"
"02.01.2017 11:00 - 02.01.2017 12:00","n/e","n/e"
"02.01.2017 12:00 - 02.01.2017 13:00","n/e","n/e"
"02.01.2017 13:00 - 02.01.2017 14:00","n/e","n/e"
"02.01.2017 14:00 - 02.01.2017 15:00","n/e","n/e"
"02.01.2017 15:00 - 02.01.2017 16:00","n/e","n/e"
"02.01.2017 16:00 - 02.01.2017 17:00","n/e","n/e"
"02.01.2017 17:00 - 02.01.2017 18:00","n/e","n/e"
"02.01.2017 18:00 - 02.01.2017 19:00","n/e","n/e"
"02.01.2017 19:00 - 02.01.2017 20:00","n/e","n/e"
"02.01.2017 20:00 - 02.01.2017 21:00","n/e","n/e"
"02.01.2017 21:00 - 02.01.2017 22:00","n/e","n/e"
"02.01.2017 22:00 - 02.01.2017 23:00","n/e","n/e"
"02.01.2017 23:00 - 03.01.2017 00:00","n/e","n/e"
"03.01.2017 00:00 - 03.01.2017 01:00","n/e","n/e"
"03.01.2017 01:00 - 03.01.2017 02:00","n/e","n/e"
"03.01.2017 02:00 - 03.01.2017 03:00","n/e","n/e"
"03.01.2017 03:00 - 03.01.2017 04:00","n/e","n/e"
"03.01.2017 04:00 - 03.01.2017 05:00","n/e","n/e"
"03.01.2017 05:00 - 03.01.2017 06:00","n/e","n/e"
"03.01.2017 06:00 - 03.01.2017 07:00","n/e","n/e"
"03.01.2017 07:00 - 03.01.2017 08:00","n/e","n/e"
"03.01.2017 08:00 - 03.01.2017 09:00","n/e","n/e"
"03.01.2017 09:00 - 03.01.2017 10:00","n/e","n/e"
"03.01.2017 10:00 - 03.01.2017 11:00","n/e","n/e"
"03.01.2017 11:00 - 03.01.2017 12:00","n/e","n/e"
"03.01.2017 12:00 - 03.01.2017 13:00","n/e","n/e"
"03.01.2017 13:00 - 03.01.2017 14:00","n/e","n/e"
"03.01.2017 14:00 - 03.01.2017 15:00","n/e","n/e"
"03.01.2017 15:00 - 03.01.2017 16:00","n/e","n/e"
"03.01.2017 16:00 - 03.01.2017 17:00","n/e","n/e"
"03.01.2017 17:00 - 03.01.2017 18:00","n/e","n/e"
"03.01.2017 18:00 - 03.01.2017 19:00","n/e","n/e"
"03.01.2017 19:00 - 03.01.2017 20:00","n/e","n/e"
"03.01.2017 20:00 - 03.01.2017 21:00","n/e","n/e"
"03.01.2017 21:00 - 03.01.2017 22:00","n/e","n/e"
"03.01.2017 22:00 - 03.01.2017 23:00","n/e","n/e"
"03.01.2017 23:00 - 04.01.2017 00:00","n/e","n/e"
"04.01.2017 00:00 - 04.01.2017 01:00","n/e","n/e"
"04.01.2017 01:00 - 04.01.2017 02:00","n/e","n/e"
"04.01.2017 02:00 - 04.01.2017 03:00","n/e","n/e"
"04.01.2017 03:00 - 04.01.2017 04:00","n/e","n/e"
"04.01.2017 04:00 - 04.01.2017 05:00","n/e","n/e"
"04.01.2017 05:00 - 04.01.2017 06:00","n/e","n/e"
"04.01.2017 06:00 - 04.01.2017 07:00","n/e","n/e"
"04.01.2017 07:00 - 04.01.2017 08:00","n/e","n/e"
"04.01.2017 08:00 - 04.01.2017 09:00","n/e","n/e"
"04.01.2017 09:00 - 04.01.2017 10:00","n/e","n/e"
"04.01.2017 10:00 - 04.01.2017 11:00","n/e","n/e"
"04.01.2017 11:00 - 04.01.2017 12:00","n/e","n/e"
"04.01.2017 12:00 - 04.01.2017 13:00","n/e","n/e"
"04.01.2017 13:00 - 04.01.2017 14:00","n/e","n/e"
"04.01.2017 14:00 - 04.01.2017 15:00","n/e","n/e"
"04.01.2017 15:00 - 04.01.2017 16:00","n/e","n/e"
"04.01.2017 16:00 - 04.01.2017 17:00","n/e","n/e"
"04.01.2017 17:00 - 04.01.2017 18:00","n/e","n/e"
"04.01.2017 18:00 - 04.01.2017 19:00","n/e","n/e"
"04.01.2017 19:00 - 04.01.2017 20:00","n/e","n/e"
"04.01.2017 20:00 - 04.01.2017 21:00","n/e","n/e"
"04.01.2017 21:00 - 04.01.2017 22:00","n/e","n/e"
"04.01.2017 22:00 - 04.01.2017 23:00","n/e","n/e"
"04.01.2017 23:00 - 05.01.2017 00:00","n/e","n/e"
"05.01.2017 00:00 - 05.01.2017 01:00","n/e","n/e"
"05.01.2017 01:00 - 05.01.2017 02:00","n/e","n/e"
"05.01.2017 02:00 - 05.01.2017 03:00","n/e","n/e"
"05.01.2017 03:00 - 05.01.2017 04:00","n/e","n/e"
"05.01.2017 04:00 - 05.01.2017 05:00","n/e","n/e"
"05.01.2017 05:00 - 05.01.2017 06:00","n/e","n/e"
"05.01.2017 06:00 - 05.01.2017 07:00","n/e","n/e"
"05.01.2017 07:00 - 05.01.2017 08:00","n/e","n/e"
"05.01.2017 08:00 - 05.01.2017 09:00","n/e","n/e"
"05.01.2017 09:00 - 05.01.2017 10:00","n/e","n/e"
"05.01.2017 10:00 - 05.01.2017 11:00","n/e","n/e"
"05.01.2017 11:00 - 05.01.2017 12:00","n/e","n/e"
"05.01.2017 12:00 - 05.01.2017 13:00","n/e","n/e"
"05.01.2017 13:00 - 05.01.2017 14:00","n/e","n/e"
"05.01.2017 14:00 - 05.01.2017 15:00","n/e","n/e"
"05.01.2017 15:00 - 05.01.2017 16:00","n/e","n/e"
"05.01.2017 16:00 - 05.01.2017 17:00","n/e","n/e"
"05.01.2017 17:00 - 05.01.2017 18:00","n/e","n/e"
"05.01.2017 18:00 - 05.01.2017 19:00","n/e","n/e"
"05.01.2017 19:00 - 05.01.2017 20:00","n/e","n/e"
"05.01.2017 20:00 - 05.01.2017 21:00","n/e","n/e"
"05.01.2017 21:00 - 05.01.2017 22:00","n/e","n/e"
"05.01.2017 22:00 - 05.01.2017 23:00","n/e","n/e"
"05.01.2017 23:00 - 06.01.2017 00:00","n/e","n/e"
"06.01.2017 00:00 - 06.01.2017 01:00","n/e","n/e"
"06.01.2017 01:00 - 06.01.2017 02:00","n/e","n/e"
"06.01.2017 02:00 - 06.01.2017 03:00","n/e","n/e"
"06.01.2017 03:00 - 06.01.2017 04:00","n/e","n/e"
"06.01.2017 04:00 - 06.01.2017 05:00","n/e","n/e"
"06.01.2017 05:00 - 06.01.2017 06:00","n/e","n/e"
"06.01.2017 06:00 - 06.01.2017 07:00","n/e","n/e"
"06.01.2017 07:00 - 06.01.2017 08:00","n/e","n/e"
"06.01.2017 08:00 - 06.01.2017 09:00","n/e","n/e"
"06.01.2017 09:00 - 06.01.2017 10:00","n/e","n/e"
"06.01.2017 10:00 - 06.01.2017 11:00","n/e","n/e"
"06.01.2017 11:00 - 06.01.2017 12:00","n/e","n/e"
"06.01.2017 12:00 - 06.01.2017 13:00","n/e","n/e"
"06.01.2017 13:00 - 06.01.2017 14:00","n/e","n/e"
"06.01.2017 14:00 - 06.01.2017 15:00","n/e","n/e"
"06.01.2017 15:00 - 06.01.2017 16:00","n/e","n/e"
"06.01.2017 16:00 - 06.01.2017 17:00","n/e","n/e"
"06.01.2017 17:00 - 06.01.2017 18:00","n/e","n/e"
"06.01.2017 18:00 - 06.01.2017 19:00","n/e","n/e"
"06.01.2017 19:00 - 06.01.2017 20:00","n/e","n/e"
"06.01.2017 20:00 - 06.01.2017 21:00","n/e","n/e"
"06.01.2017 21:00 - 06.01.2017 22:00","n/e","n/e"
"06.01.2017 22:00 - 06.01.2017 23:00","n/e","n/e"
"06.01.2017 23:00 - 07.01.2017 00:00","n/e","n/e"
