"Time (CET/CEST)","Sweden (SE) > Germany (DE) [MW]","Germany (DE) > Sweden (SE) [MW]"
"01.01.2017 00:00 - 01.01.2017 01:00","0","1"
"01.01.2017 01:00 - 01.01.2017 02:00","0","1"
"01.01.2017 02:00 - 01.01.2017 03:00","0","1"
"01.01.2017 03:00 - 01.01.2017 04:00","0","1"
"01.01.2017 04:00 - 01.01.2017 05:00","0","1"
"01.01.2017 05:00 - 01.01.2017 06:00","0","73"
"01.01.2017 06:00 - 01.01.2017 07:00","0","75"
"01.01.2017 07:00 - 01.01.2017 08:00","0","75"
"01.01.2017 08:00 - 01.01.2017 09:00","0","75"
"01.01.2017 09:00 - 01.01.2017 10:00","0","2"
"01.01.2017 10:00 - 01.01.2017 11:00","0","2"
"01.01.2017 11:00 - 01.01.2017 12:00","0","2"
"01.01.2017 12:00 - 01.01.2017 13:00","0","3"
"01.01.2017 13:00 - 01.01.2017 14:00","0","3"
"01.01.2017 14:00 - 01.01.2017 15:00","0","3"
"01.01.2017 15:00 - 01.01.2017 16:00","87","0"
"01.01.2017 16:00 - 01.01.2017 17:00","284","0"
"01.01.2017 17:00 - 01.01.2017 18:00","423","0"
"01.01.2017 18:00 - 01.01.2017 19:00","481","0"
"01.01.2017 19:00 - 01.01.2017 20:00","533","0"
"01.01.2017 20:00 - 01.01.2017 21:00","533","0"
"01.01.2017 21:00 - 01.01.2017 22:00","478","0"
"01.01.2017 22:00 - 01.01.2017 23:00","405","0"
"01.01.2017 23:00 - 02.01.2017 00:00","312","0"
"02.01.2017 00:00 - 02.01.2017 01:00","82","0"
"02.01.2017 01:00 - 02.01.2017 02:00","0","2"
"02.01.2017 02:00 - 02.01.2017 03:00","0","2"
"02.01.2017 03:00 - 02.01.2017 04:00","0","2"
"02.01.2017 04:00 - 02.01.2017 05:00","0","2"
"02.01.2017 05:00 - 02.01.2017 06:00","152","0"
"02.01.2017 06:00 - 02.01.2017 07:00","294","0"
"02.01.2017 07:00 - 02.01.2017 08:00","405","0"
"02.01.2017 08:00 - 02.01.2017 09:00","497","0"
"02.01.2017 09:00 - 02.01.2017 10:00","605","0"
"02.01.2017 10:00 - 02.01.2017 11:00","608","0"
"02.01.2017 11:00 - 02.01.2017 12:00","608","0"
"02.01.2017 12:00 - 02.01.2017 13:00","608","0"
"02.01.2017 13:00 - 02.01.2017 14:00","578","0"
"02.01.2017 14:00 - 02.01.2017 15:00","543","0"
"02.01.2017 15:00 - 02.01.2017 16:00","515","0"
"02.01.2017 16:00 - 02.01.2017 17:00","499","0"
"02.01.2017 17:00 - 02.01.2017 18:00","554","0"
"02.01.2017 18:00 - 02.01.2017 19:00","566","0"
"02.01.2017 19:00 - 02.01.2017 20:00","566","0"
"02.01.2017 20:00 - 02.01.2017 21:00","554","0"
"02.01.2017 21:00 - 02.01.2017 22:00","528","0"
"02.01.2017 22:00 - 02.01.2017 23:00","371","0"
"02.01.2017 23:00 - 03.01.2017 00:00","180","0"
"03.01.2017 00:00 - 03.01.2017 01:00","5","0"
"03.01.2017 01:00 - 03.01.2017 02:00","0","2"
"03.01.2017 02:00 - 03.01.2017 03:00","0","2"
"03.01.2017 03:00 - 03.01.2017 04:00","0","2"
"03.01.2017 04:00 - 03.01.2017 05:00","0","2"
"03.01.2017 05:00 - 03.01.2017 06:00","0","2"
"03.01.2017 06:00 - 03.01.2017 07:00","0","2"
"03.01.2017 07:00 - 03.01.2017 08:00","89","0"
"03.01.2017 08:00 - 03.01.2017 09:00","62","0"
"03.01.2017 09:00 - 03.01.2017 10:00","0","2"
"03.01.2017 10:00 - 03.01.2017 11:00","0","2"
"03.01.2017 11:00 - 03.01.2017 12:00","0","2"
"03.01.2017 12:00 - 03.01.2017 13:00","0","2"
"03.01.2017 13:00 - 03.01.2017 14:00","0","2"
"03.01.2017 14:00 - 03.01.2017 15:00","0","2"
"03.01.2017 15:00 - 03.01.2017 16:00","0","2"
"03.01.2017 16:00 - 03.01.2017 17:00","0","2"
"03.01.2017 17:00 - 03.01.2017 18:00","0","2"
"03.01.2017 18:00 - 03.01.2017 19:00","0","2"
"03.01.2017 19:00 - 03.01.2017 20:00","0","2"
"03.01.2017 20:00 - 03.01.2017 21:00","0","1"
"03.01.2017 21:00 - 03.01.2017 22:00","0","67"
"03.01.2017 22:00 - 03.01.2017 23:00","0","65"
"03.01.2017 23:00 - 04.01.2017 00:00","0","65"
"04.01.2017 00:00 - 04.01.2017 01:00","0","65"
"04.01.2017 01:00 - 04.01.2017 02:00","0","65"
"04.01.2017 02:00 - 04.01.2017 03:00","0","65"
"04.01.2017 03:00 - 04.01.2017 04:00","0","65"
"04.01.2017 04:00 - 04.01.2017 05:00","0","65"
"04.01.2017 05:00 - 04.01.2017 06:00","0","64"
"04.01.2017 06:00 - 04.01.2017 07:00","0","65"
"04.01.2017 07:00 - 04.01.2017 08:00","0","2"
"04.01.2017 08:00 - 04.01.2017 09:00","0","2"
"04.01.2017 09:00 - 04.01.2017 10:00","0","2"
"04.01.2017 10:00 - 04.01.2017 11:00","0","2"
"04.01.2017 11:00 - 04.01.2017 12:00","0","2"
"04.01.2017 12:00 - 04.01.2017 13:00","0","2"
"04.01.2017 13:00 - 04.01.2017 14:00","0","2"
"04.01.2017 14:00 - 04.01.2017 15:00","66","0"
"04.01.2017 15:00 - 04.01.2017 16:00","105","0"
"04.01.2017 16:00 - 04.01.2017 17:00","147","0"
"04.01.2017 17:00 - 04.01.2017 18:00","265","0"
"04.01.2017 18:00 - 04.01.2017 19:00","290","0"
"04.01.2017 19:00 - 04.01.2017 20:00","301","0"
"04.01.2017 20:00 - 04.01.2017 21:00","273","0"
"04.01.2017 21:00 - 04.01.2017 22:00","273","0"
"04.01.2017 22:00 - 04.01.2017 23:00","299","0"
"04.01.2017 23:00 - 05.01.2017 00:00","316","0"
"05.01.2017 00:00 - 05.01.2017 01:00","22","0"
"05.01.2017 01:00 - 05.01.2017 02:00","0","2"
"05.01.2017 02:00 - 05.01.2017 03:00","88","0"
"05.01.2017 03:00 - 05.01.2017 04:00","135","0"
"05.01.2017 04:00 - 05.01.2017 05:00","160","0"
"05.01.2017 05:00 - 05.01.2017 06:00","194","0"
"05.01.2017 06:00 - 05.01.2017 07:00","275","0"
"05.01.2017 07:00 - 05.01.2017 08:00","377","0"
"05.01.2017 08:00 - 05.01.2017 09:00","518","0"
"05.01.2017 09:00 - 05.01.2017 10:00","551","0"
