"Time (CET/CEST)","Czech Republic (CZ) > Germany (DE) [MW]","Germany (DE) > Czech Republic (CZ) [MW]"
"01.01.2017 00:00 - 01.01.2017 01:00","913","0"
"01.01.2017 01:00 - 01.01.2017 02:00","798","0"
"01.01.2017 02:00 - 01.01.2017 03:00","766","0"
"01.01.2017 03:00 - 01.01.2017 04:00","521","0"
"01.01.2017 04:00 - 01.01.2017 05:00","613","0"
"01.01.2017 05:00 - 01.01.2017 06:00","604","0"
"01.01.2017 06:00 - 01.01.2017 07:00","443","0"
"01.01.2017 07:00 - 01.01.2017 08:00","429","0"
"01.01.2017 08:00 - 01.01.2017 09:00","590","0"
"01.01.2017 09:00 - 01.01.2017 10:00","376","0"
"01.01.2017 10:00 - 01.01.2017 11:00","528","0"
"01.01.2017 11:00 - 01.01.2017 12:00","687","0"
"01.01.2017 12:00 - 01.01.2017 13:00","790","0"
"01.01.2017 13:00 - 01.01.2017 14:00","760","0"
"01.01.2017 14:00 - 01.01.2017 15:00","670","0"
"01.01.2017 15:00 - 01.01.2017 16:00","692","0"
"01.01.2017 16:00 - 01.01.2017 17:00","1098","0"
"01.01.2017 17:00 - 01.01.2017 18:00","1039","0"
"01.01.2017 18:00 - 01.01.2017 19:00","1268","0"
"01.01.2017 19:00 - 01.01.2017 20:00","1229","0"
"01.01.2017 20:00 - 01.01.2017 21:00","1056","0"
"01.01.2017 21:00 - 01.01.2017 22:00","863","0"
"01.01.2017 22:00 - 01.01.2017 23:00","1006","0"
"01.01.2017 23:00 - 02.01.2017 00:00","1091","0"
"02.01.2017 00:00 - 02.01.2017 01:00","911","0"
"02.01.2017 01:00 - 02.01.2017 02:00","627","0"
"02.01.2017 02:00 - 02.01.2017 03:00","601","0"
"02.01.2017 03:00 - 02.01.2017 04:00","656","0"
"02.01.2017 04:00 - 02.01.2017 05:00","512","0"
"02.01.2017 05:00 - 02.01.2017 06:00","211","0"
"02.01.2017 06:00 - 02.01.2017 07:00","55","0"
"02.01.2017 07:00 - 02.01.2017 08:00","103","0"
"02.01.2017 08:00 - 02.01.2017 09:00","444","0"
"02.01.2017 09:00 - 02.01.2017 10:00","488","0"
"02.01.2017 10:00 - 02.01.2017 11:00","501","0"
"02.01.2017 11:00 - 02.01.2017 12:00","552","0"
"02.01.2017 12:00 - 02.01.2017 13:00","238","0"
"02.01.2017 13:00 - 02.01.2017 14:00","270","0"
"02.01.2017 14:00 - 02.01.2017 15:00","409","0"
"02.01.2017 15:00 - 02.01.2017 16:00","316","0"
"02.01.2017 16:00 - 02.01.2017 17:00","209","0"
"02.01.2017 17:00 - 02.01.2017 18:00","389","0"
"02.01.2017 18:00 - 02.01.2017 19:00","597","0"
"02.01.2017 19:00 - 02.01.2017 20:00","663","0"
"02.01.2017 20:00 - 02.01.2017 21:00","486","0"
"02.01.2017 21:00 - 02.01.2017 22:00","552","0"
"02.01.2017 22:00 - 02.01.2017 23:00","848","0"
"02.01.2017 23:00 - 03.01.2017 00:00","1053","0"
"03.01.2017 00:00 - 03.01.2017 01:00","1103","0"
"03.01.2017 01:00 - 03.01.2017 02:00","1021","0"
"03.01.2017 02:00 - 03.01.2017 03:00","947","0"
"03.01.2017 03:00 - 03.01.2017 04:00","916","0"
"03.01.2017 04:00 - 03.01.2017 05:00","657","0"
"03.01.2017 05:00 - 03.01.2017 06:00","186","0"
"03.01.2017 06:00 - 03.01.2017 07:00","0","68"
"03.01.2017 07:00 - 03.01.2017 08:00","0","320"
"03.01.2017 08:00 - 03.01.2017 09:00","0","269"
"03.01.2017 09:00 - 03.01.2017 10:00","0","173"
"03.01.2017 10:00 - 03.01.2017 11:00","0","319"
"03.01.2017 11:00 - 03.01.2017 12:00","0","361"
"03.01.2017 12:00 - 03.01.2017 13:00","0","640"
"03.01.2017 13:00 - 03.01.2017 14:00","0","435"
"03.01.2017 14:00 - 03.01.2017 15:00","0","327"
"03.01.2017 15:00 - 03.01.2017 16:00","0","541"
"03.01.2017 16:00 - 03.01.2017 17:00","0","635"
"03.01.2017 17:00 - 03.01.2017 18:00","0","481"
"03.01.2017 18:00 - 03.01.2017 19:00","0","568"
"03.01.2017 19:00 - 03.01.2017 20:00","0","567"
"03.01.2017 20:00 - 03.01.2017 21:00","0","587"
"03.01.2017 21:00 - 03.01.2017 22:00","0","378"
"03.01.2017 22:00 - 03.01.2017 23:00","0","578"
"03.01.2017 23:00 - 04.01.2017 00:00","0","708"
"04.01.2017 00:00 - 04.01.2017 01:00","0","1269"
"04.01.2017 01:00 - 04.01.2017 02:00","0","1198"
"04.01.2017 02:00 - 04.01.2017 03:00","0","1324"
"04.01.2017 03:00 - 04.01.2017 04:00","0","1320"
"04.01.2017 04:00 - 04.01.2017 05:00","0","852"
"04.01.2017 05:00 - 04.01.2017 06:00","0","906"
"04.01.2017 06:00 - 04.01.2017 07:00","0","1445"
"04.01.2017 07:00 - 04.01.2017 08:00","0","1562"
"04.01.2017 08:00 - 04.01.2017 09:00","0","970"
"04.01.2017 09:00 - 04.01.2017 10:00","0","964"
"04.01.2017 10:00 - 04.01.2017 11:00","0","983"
"04.01.2017 11:00 - 04.01.2017 12:00","0","897"
"04.01.2017 12:00 - 04.01.2017 13:00","0","868"
"04.01.2017 13:00 - 04.01.2017 14:00","0","746"
"04.01.2017 14:00 - 04.01.2017 15:00","0","701"
"04.01.2017 15:00 - 04.01.2017 16:00","0","545"
"04.01.2017 16:00 - 04.01.2017 17:00","0","569"
"04.01.2017 17:00 - 04.01.2017 18:00","0","157"
"04.01.2017 18:00 - 04.01.2017 19:00","39","0"
"04.01.2017 19:00 - 04.01.2017 20:00","146","0"
"04.01.2017 20:00 - 04.01.2017 21:00","5","0"
"04.01.2017 21:00 - 04.01.2017 22:00","234","0"
"04.01.2017 22:00 - 04.01.2017 23:00","272","0"
"04.01.2017 23:00 - 05.01.2017 00:00","609","0"
"05.01.2017 00:00 - 05.01.2017 01:00","148","0"
"05.01.2017 01:00 - 05.01.2017 02:00","193","0"
"05.01.2017 02:00 - 05.01.2017 03:00","151","0"
"05.01.2017 03:00 - 05.01.2017 04:00","252","0"
"05.01.2017 04:00 - 05.01.2017 05:00","207","0"
"05.01.2017 05:00 - 05.01.2017 06:00","213","0"
"05.01.2017 06:00 - 05.01.2017 07:00","0","142"
"05.01.2017 07:00 - 05.01.2017 08:00","217","0"
"05.01.2017 08:00 - 05.01.2017 09:00","561","0"
"05.01.2017 09:00 - 05.01.2017 10:00","460","0"
"05.01.2017 10:00 - 05.01.2017 11:00","416","0"
"05.01.2017 11:00 - 05.01.2017 12:00","337","0"
"05.01.2017 12:00 - 05.01.2017 13:00","115","0"
"05.01.2017 13:00 - 05.01.2017 14:00","110","0"
"05.01.2017 14:00 - 05.01.2017 15:00","130","0"
"05.01.2017 15:00 - 05.01.2017 16:00","159","0"
"05.01.2017 16:00 - 05.01.2017 17:00","381","0"
"05.01.2017 17:00 - 05.01.2017 18:00","953","0"
"05.01.2017 18:00 - 05.01.2017 19:00","1157","0"
"05.01.2017 19:00 - 05.01.2017 20:00","926","0"
"05.01.2017 20:00 - 05.01.2017 21:00","1183","0"
"05.01.2017 21:00 - 05.01.2017 22:00","928","0"
"05.01.2017 22:00 - 05.01.2017 23:00","1072","0"
"05.01.2017 23:00 - 06.01.2017 00:00","1028","0"
"06.01.2017 00:00 - 06.01.2017 01:00","1361","0"
"06.01.2017 01:00 - 06.01.2017 02:00","1097","0"
"06.01.2017 02:00 - 06.01.2017 03:00","1283","0"
"06.01.2017 03:00 - 06.01.2017 04:00","1312","0"
"06.01.2017 04:00 - 06.01.2017 05:00","1411","0"
"06.01.2017 05:00 - 06.01.2017 06:00","1244","0"
"06.01.2017 06:00 - 06.01.2017 07:00","846","0"
"06.01.2017 07:00 - 06.01.2017 08:00","1044","0"
"06.01.2017 08:00 - 06.01.2017 09:00","1464","0"
"06.01.2017 09:00 - 06.01.2017 10:00","1162","0"
"06.01.2017 10:00 - 06.01.2017 11:00","940","0"
"06.01.2017 11:00 - 06.01.2017 12:00","923","0"
"06.01.2017 12:00 - 06.01.2017 13:00","785","0"
"06.01.2017 13:00 - 06.01.2017 14:00","705","0"
"06.01.2017 14:00 - 06.01.2017 15:00","610","0"
"06.01.2017 15:00 - 06.01.2017 16:00","606","0"
"06.01.2017 16:00 - 06.01.2017 17:00","645","0"
"06.01.2017 17:00 - 06.01.2017 18:00","1007","0"
"06.01.2017 18:00 - 06.01.2017 19:00","927","0"
"06.01.2017 19:00 - 06.01.2017 20:00","447","0"
"06.01.2017 20:00 - 06.01.2017 21:00","86","0"
"06.01.2017 21:00 - 06.01.2017 22:00","371","0"
"06.01.2017 22:00 - 06.01.2017 23:00","614","0"
"06.01.2017 23:00 - 07.01.2017 00:00","739","0"
"07.01.2017 00:00 - 07.01.2017 01:00","1078","0"
"07.01.2017 01:00 - 07.01.2017 02:00","1313","0"
"07.01.2017 02:00 - 07.01.2017 03:00","918","0"
"07.01.2017 03:00 - 07.01.2017 04:00","630","0"
"07.01.2017 04:00 - 07.01.2017 05:00","683","0"
"07.01.2017 05:00 - 07.01.2017 06:00","499","0"
"07.01.2017 06:00 - 07.01.2017 07:00","147","0"
"07.01.2017 07:00 - 07.01.2017 08:00","182","0"
"07.01.2017 08:00 - 07.01.2017 09:00","114","0"
"07.01.2017 09:00 - 07.01.2017 10:00","283","0"
"07.01.2017 10:00 - 07.01.2017 11:00","382","0"
"07.01.2017 11:00 - 07.01.2017 12:00","493","0"
"07.01.2017 12:00 - 07.01.2017 13:00","375","0"
"07.01.2017 13:00 - 07.01.2017 14:00","283","0"
"07.01.2017 14:00 - 07.01.2017 15:00","164","0"
"07.01.2017 15:00 - 07.01.2017 16:00","0","53"
"07.01.2017 16:00 - 07.01.2017 17:00","0","165"
"07.01.2017 17:00 - 07.01.2017 18:00","271","0"
"07.01.2017 18:00 - 07.01.2017 19:00","414","0"
"07.01.2017 19:00 - 07.01.2017 20:00","140","0"
"07.01.2017 20:00 - 07.01.2017 21:00","0","45"
"07.01.2017 21:00 - 07.01.2017 22:00","178","0"
"07.01.2017 22:00 - 07.01.2017 23:00","381","0"
"07.01.2017 23:00 - 08.01.2017 00:00","531","0"
"08.01.2017 00:00 - 08.01.2017 01:00","84","0"
"08.01.2017 01:00 - 08.01.2017 02:00","0","116"
"08.01.2017 02:00 - 08.01.2017 03:00","0","245"
"08.01.2017 03:00 - 08.01.2017 04:00","0","226"
"08.01.2017 04:00 - 08.01.2017 05:00","0","180"
"08.01.2017 05:00 - 08.01.2017 06:00","0","4"
"08.01.2017 06:00 - 08.01.2017 07:00","0","145"
"08.01.2017 07:00 - 08.01.2017 08:00","0","410"
"08.01.2017 08:00 - 08.01.2017 09:00","0","727"
"08.01.2017 09:00 - 08.01.2017 10:00","0","492"
"08.01.2017 10:00 - 08.01.2017 11:00","0","395"
"08.01.2017 11:00 - 08.01.2017 12:00","0","123"
"08.01.2017 12:00 - 08.01.2017 13:00","78","0"
"08.01.2017 13:00 - 08.01.2017 14:00","32","0"
"08.01.2017 14:00 - 08.01.2017 15:00","23","0"
"08.01.2017 15:00 - 08.01.2017 16:00","0","124"
"08.01.2017 16:00 - 08.01.2017 17:00","0","292"
"08.01.2017 17:00 - 08.01.2017 18:00","216","0"
"08.01.2017 18:00 - 08.01.2017 19:00","322","0"
"08.01.2017 19:00 - 08.01.2017 20:00","316","0"
"08.01.2017 20:00 - 08.01.2017 21:00","0","4"
"08.01.2017 21:00 - 08.01.2017 22:00","309","0"
"08.01.2017 22:00 - 08.01.2017 23:00","659","0"
"08.01.2017 23:00 - 09.01.2017 00:00","811","0"
"09.01.2017 00:00 - 09.01.2017 01:00","686","0"
"09.01.2017 01:00 - 09.01.2017 02:00","426","0"
"09.01.2017 02:00 - 09.01.2017 03:00","519","0"
"09.01.2017 03:00 - 09.01.2017 04:00","508","0"
"09.01.2017 04:00 - 09.01.2017 05:00","324","0"
"09.01.2017 05:00 - 09.01.2017 06:00","0","84"
"09.01.2017 06:00 - 09.01.2017 07:00","0","658"
"09.01.2017 07:00 - 09.01.2017 08:00","0","834"
"09.01.2017 08:00 - 09.01.2017 09:00","0","791"
"09.01.2017 09:00 - 09.01.2017 10:00","0","794"
"09.01.2017 10:00 - 09.01.2017 11:00","0","660"
"09.01.2017 11:00 - 09.01.2017 12:00","0","655"
"09.01.2017 12:00 - 09.01.2017 13:00","0","780"
"09.01.2017 13:00 - 09.01.2017 14:00","0","845"
"09.01.2017 14:00 - 09.01.2017 15:00","0","1053"
"09.01.2017 15:00 - 09.01.2017 16:00","0","1058"
"09.01.2017 16:00 - 09.01.2017 17:00","0","1356"
"09.01.2017 17:00 - 09.01.2017 18:00","0","1386"
"09.01.2017 18:00 - 09.01.2017 19:00","0","1421"
"09.01.2017 19:00 - 09.01.2017 20:00","0","1518"
"09.01.2017 20:00 - 09.01.2017 21:00","0","1509"
"09.01.2017 21:00 - 09.01.2017 22:00","0","1505"
"09.01.2017 22:00 - 09.01.2017 23:00","0","783"
"09.01.2017 23:00 - 10.01.2017 00:00","0","619"
"10.01.2017 00:00 - 10.01.2017 01:00","0","756"
"10.01.2017 01:00 - 10.01.2017 02:00","0","1003"
