"Time (CET/CEST)","France (FR) > Germany (DE) [MW]","Germany (DE) > France (FR) [MW]"
"01.01.2017 00:00 - 01.01.2017 01:00","0","2238"
"01.01.2017 01:00 - 01.01.2017 02:00","0","2144"
"01.01.2017 02:00 - 01.01.2017 03:00","0","1988"
"01.01.2017 03:00 - 01.01.2017 04:00","0","1358"
"01.01.2017 04:00 - 01.01.2017 05:00","0","1127"
"01.01.2017 05:00 - 01.01.2017 06:00","0","1087"
"01.01.2017 06:00 - 01.01.2017 07:00","0","1076"
"01.01.2017 07:00 - 01.01.2017 08:00","0","994"
"01.01.2017 08:00 - 01.01.2017 09:00","0","941"
"01.01.2017 09:00 - 01.01.2017 10:00","0","1214"
"01.01.2017 10:00 - 01.01.2017 11:00","0","1481"
"01.01.2017 11:00 - 01.01.2017 12:00","0","1713"
"01.01.2017 12:00 - 01.01.2017 13:00","0","1965"
"01.01.2017 13:00 - 01.01.2017 14:00","0","1857"
"01.01.2017 14:00 - 01.01.2017 15:00","0","1532"
"01.01.2017 15:00 - 01.01.2017 16:00","0","1381"
"01.01.2017 16:00 - 01.01.2017 17:00","0","931"
"01.01.2017 17:00 - 01.01.2017 18:00","0","1168"
"01.01.2017 18:00 - 01.01.2017 19:00","0","1803"
"01.01.2017 19:00 - 01.01.2017 20:00","0","2222"
"01.01.2017 20:00 - 01.01.2017 21:00","0","2090"
"01.01.2017 21:00 - 01.01.2017 22:00","0","1871"
"01.01.2017 22:00 - 01.01.2017 23:00","0","1995"
"01.01.2017 23:00 - 02.01.2017 00:00","0","2072"
"02.01.2017 00:00 - 02.01.2017 01:00","0","586"
"02.01.2017 01:00 - 02.01.2017 02:00","0","175"
"02.01.2017 02:00 - 02.01.2017 03:00","0","167"
"02.01.2017 03:00 - 02.01.2017 04:00","173","0"
"02.01.2017 04:00 - 02.01.2017 05:00","218","0"
"02.01.2017 05:00 - 02.01.2017 06:00","92","0"
"02.01.2017 06:00 - 02.01.2017 07:00","0","128"
"02.01.2017 07:00 - 02.01.2017 08:00","0","725"
"02.01.2017 08:00 - 02.01.2017 09:00","0","1032"
"02.01.2017 09:00 - 02.01.2017 10:00","0","1285"
"02.01.2017 10:00 - 02.01.2017 11:00","0","1410"
"02.01.2017 11:00 - 02.01.2017 12:00","0","1342"
"02.01.2017 12:00 - 02.01.2017 13:00","0","1522"
"02.01.2017 13:00 - 02.01.2017 14:00","0","1207"
"02.01.2017 14:00 - 02.01.2017 15:00","0","1239"
"02.01.2017 15:00 - 02.01.2017 16:00","0","958"
"02.01.2017 16:00 - 02.01.2017 17:00","0","880"
"02.01.2017 17:00 - 02.01.2017 18:00","0","560"
"02.01.2017 18:00 - 02.01.2017 19:00","0","1094"
"02.01.2017 19:00 - 02.01.2017 20:00","0","1237"
"02.01.2017 20:00 - 02.01.2017 21:00","0","1238"
"02.01.2017 21:00 - 02.01.2017 22:00","0","1441"
"02.01.2017 22:00 - 02.01.2017 23:00","0","1584"
"02.01.2017 23:00 - 03.01.2017 00:00","0","1700"
"03.01.2017 00:00 - 03.01.2017 01:00","0","1153"
"03.01.2017 01:00 - 03.01.2017 02:00","0","1212"
"03.01.2017 02:00 - 03.01.2017 03:00","0","1141"
"03.01.2017 03:00 - 03.01.2017 04:00","0","1344"
"03.01.2017 04:00 - 03.01.2017 05:00","0","752"
"03.01.2017 05:00 - 03.01.2017 06:00","0","278"
"03.01.2017 06:00 - 03.01.2017 07:00","0","795"
"03.01.2017 07:00 - 03.01.2017 08:00","0","1273"
"03.01.2017 08:00 - 03.01.2017 09:00","0","1334"
"03.01.2017 09:00 - 03.01.2017 10:00","0","1441"
"03.01.2017 10:00 - 03.01.2017 11:00","0","1182"
"03.01.2017 11:00 - 03.01.2017 12:00","0","1079"
"03.01.2017 12:00 - 03.01.2017 13:00","0","1068"
"03.01.2017 13:00 - 03.01.2017 14:00","0","1081"
"03.01.2017 14:00 - 03.01.2017 15:00","0","876"
"03.01.2017 15:00 - 03.01.2017 16:00","0","765"
"03.01.2017 16:00 - 03.01.2017 17:00","0","460"
"03.01.2017 17:00 - 03.01.2017 18:00","0","815"
"03.01.2017 18:00 - 03.01.2017 19:00","0","947"
"03.01.2017 19:00 - 03.01.2017 20:00","0","918"
"03.01.2017 20:00 - 03.01.2017 21:00","0","707"
"03.01.2017 21:00 - 03.01.2017 22:00","0","720"
"03.01.2017 22:00 - 03.01.2017 23:00","0","541"
"03.01.2017 23:00 - 04.01.2017 00:00","0","546"
"04.01.2017 00:00 - 04.01.2017 01:00","0","376"
"04.01.2017 01:00 - 04.01.2017 02:00","0","291"
"04.01.2017 02:00 - 04.01.2017 03:00","119","0"
"04.01.2017 03:00 - 04.01.2017 04:00","698","0"
"04.01.2017 04:00 - 04.01.2017 05:00","767","0"
"04.01.2017 05:00 - 04.01.2017 06:00","387","0"
"04.01.2017 06:00 - 04.01.2017 07:00","0","2"
"04.01.2017 07:00 - 04.01.2017 08:00","0","499"
"04.01.2017 08:00 - 04.01.2017 09:00","0","618"
"04.01.2017 09:00 - 04.01.2017 10:00","0","648"
"04.01.2017 10:00 - 04.01.2017 11:00","0","647"
"04.01.2017 11:00 - 04.01.2017 12:00","0","622"
"04.01.2017 12:00 - 04.01.2017 13:00","0","566"
"04.01.2017 13:00 - 04.01.2017 14:00","0","559"
"04.01.2017 14:00 - 04.01.2017 15:00","0","378"
"04.01.2017 15:00 - 04.01.2017 16:00","0","238"
"04.01.2017 16:00 - 04.01.2017 17:00","0","78"
"04.01.2017 17:00 - 04.01.2017 18:00","0","410"
"04.01.2017 18:00 - 04.01.2017 19:00","0","913"
"04.01.2017 19:00 - 04.01.2017 20:00","0","950"
"04.01.2017 20:00 - 04.01.2017 21:00","0","731"
"04.01.2017 21:00 - 04.01.2017 22:00","0","501"
"04.01.2017 22:00 - 04.01.2017 23:00","0","450"
"04.01.2017 23:00 - 05.01.2017 00:00","0","1166"
"05.01.2017 00:00 - 05.01.2017 01:00","0","1719"
"05.01.2017 01:00 - 05.01.2017 02:00","0","1821"
"05.01.2017 02:00 - 05.01.2017 03:00","0","113"
"05.01.2017 03:00 - 05.01.2017 04:00","77","0"
"05.01.2017 04:00 - 05.01.2017 05:00","0","1208"
"05.01.2017 05:00 - 05.01.2017 06:00","0","1251"
"05.01.2017 06:00 - 05.01.2017 07:00","0","1570"
"05.01.2017 07:00 - 05.01.2017 08:00","0","1602"
"05.01.2017 08:00 - 05.01.2017 09:00","0","1539"
"05.01.2017 09:00 - 05.01.2017 10:00","0","1220"
"05.01.2017 10:00 - 05.01.2017 11:00","0","1052"
"05.01.2017 11:00 - 05.01.2017 12:00","0","1030"
"05.01.2017 12:00 - 05.01.2017 13:00","0","991"
"05.01.2017 13:00 - 05.01.2017 14:00","0","843"
"05.01.2017 14:00 - 05.01.2017 15:00","0","703"
"05.01.2017 15:00 - 05.01.2017 16:00","0","881"
"05.01.2017 16:00 - 05.01.2017 17:00","0","817"
"05.01.2017 17:00 - 05.01.2017 18:00","0","762"
"05.01.2017 18:00 - 05.01.2017 19:00","0","1634"
"05.01.2017 19:00 - 05.01.2017 20:00","0","1541"
"05.01.2017 20:00 - 05.01.2017 21:00","0","2001"
"05.01.2017 21:00 - 05.01.2017 22:00","0","1102"
"05.01.2017 22:00 - 05.01.2017 23:00","0","1827"
"05.01.2017 23:00 - 06.01.2017 00:00","0","712"
"06.01.2017 00:00 - 06.01.2017 01:00","0","1708"
"06.01.2017 01:00 - 06.01.2017 02:00","0","1930"
"06.01.2017 02:00 - 06.01.2017 03:00","0","2002"
"06.01.2017 03:00 - 06.01.2017 04:00","0","1638"
