timestamp,price,load_forecast,solar_forecast,wind_forecast,total_generation,net_import_export,load_forecast_ramp,solar_forecast_ramp,wind_forecast_ramp,total_generation_ramp,net_import_export_ramp,oil,natural_gas
2017-01-01 00:00:00,20.96,46292.0,0.0,16244.25,49532.0,9090.0,-2101.75,0.0,-159.0,-1369.0,329.0,53.6131,3.2088
2017-01-01 01:00:00,20.9,44190.25,0.0,16085.25,48163.0,9419.0,-2101.75,0.0,-159.0,-1369.0,329.0,53.6131,3.2088
2017-01-01 02:00:00,18.13,43176.0,0.0,15997.75,47322.0,9648.0,-1014.25,0.0,-87.5,-841.0,229.0,53.6131,3.2088
2017-01-01 03:00:00,16.03,42790.75,0.0,15894.5,46593.0,9782.0,-385.25,0.0,-103.25,-729.0,134.0,53.6131,3.2088
2017-01-01 04:00:00,16.43,42819.5,0.0,15819.5,45888.0,9633.0,28.75,0.0,-75.0,-705.0,-149.0,53.6131,3.2088
2017-01-01 05:00:00,13.75,42431.5,0.0,15954.0,45454.0,10053.0,-388.0,0.0,134.5,-434.0,420.0,53.6131,3.2088
2017-01-01 06:00:00,11.1,41047.75,0.0,16196.5,44598.0,10494.0,-1383.75,0.0,242.5,-856.0,441.0,53.6131,3.2088
2017-01-01 07:00:00,15.47,43326.0,8.75,16465.5,45434.0,11274.0,2278.25,8.75,269.0,836.0,780.0,53.6131,3.2088
2017-01-01 08:00:00,16.88,46735.75,433.75,16773.75,47392.0,11402.0,3409.75,425.0,308.25,1958.0,128.0,53.6131,3.2088
2017-01-01 09:00:00,21.81,50413.0,2620.0,16943.0,51732.0,11213.0,3677.25,2186.25,169.25,4340.0,-189.0,53.6131,3.2088
2017-01-01 10:00:00,26.24,53501.25,5347.75,16614.25,55255.0,10964.0,3088.25,2727.75,-328.75,3523.0,-249.0,53.6131,3.2088
2017-01-01 11:00:00,26.42,55878.0,7320.25,15719.5,58455.0,10880.0,2376.75,1972.5,-894.75,3200.0,-84.0,53.6131,3.2088
2017-01-01 12:00:00,27.66,55907.75,7982.5,14849.5,58555.0,10467.0,29.75,662.25,-870.0,100.0,-413.0,53.6131,3.2088
2017-01-01 13:00:00,28.7,54032.0,7101.5,14231.25,56260.0,9964.0,-1875.75,-881.0,-618.25,-2295.0,-503.0,53.6131,3.2088
2017-01-01 14:00:00,29.66,52934.25,4836.75,14091.25,52683.0,9379.0,-1097.75,-2264.75,-140.0,-3577.0,-585.0,53.6131,3.2088
2017-01-01 15:00:00,35.33,52975.5,1939.25,14302.0,50429.0,8179.0,41.25,-2897.5,210.75,-2254.0,-1200.0,53.6131,3.2088
2017-01-01 16:00:00,44.12,55237.25,160.0,14627.75,51272.0,5766.0,2261.75,-1779.25,325.75,843.0,-2413.0,53.6131,3.2088
2017-01-01 17:00:00,51.59,58887.75,9.75,14911.75,54519.0,6348.0,3650.5,-150.25,284.0,3247.0,582.0,53.6131,3.2088
2017-01-01 18:00:00,53.95,59256.0,8.0,15137.5,54597.0,6318.0,368.25,-1.75,225.75,78.0,-30.0,53.6131,3.2088
2017-01-01 19:00:00,50.97,58672.75,0.0,15163.0,54994.0,6885.0,-583.25,-8.0,25.5,397.0,567.0,53.6131,3.2088
2017-01-01 20:00:00,44.93,56554.5,0.0,14990.25,53339.0,7879.0,-2118.25,0.0,-172.75,-1655.0,994.0,53.6131,3.2088
2017-01-01 21:00:00,38.83,54972.0,0.0,14943.25,51811.0,8127.0,-1582.5,0.0,-47.0,-1528.0,248.0,53.6131,3.2088
2017-01-01 22:00:00,42.17,54853.5,0.0,14839.0,50866.0,7992.0,-118.5,0.0,-104.25,-945.0,-135.0,53.6131,3.2088
2017-01-01 23:00:00,33.06,51097.25,0.0,14598.75,49050.0,8382.0,-3756.25,0.0,-240.25,-1816.0,390.0,53.6131,3.2088
2017-01-02 00:00:00,30.54,48006.25,0.0,13478.75,45909.0,6258.0,-3091.0,0.0,-1120.0,-3141.0,-2124.0,53.6131,3.2088
2017-01-02 01:00:00,28.91,46781.5,0.0,13650.0,45172.0,6896.0,-1224.75,0.0,171.25,-737.0,638.0,53.6131,3.2088
2017-01-02 02:00:00,28.11,46132.25,0.0,13808.25,45587.0,7366.0,-649.25,0.0,158.25,415.0,470.0,53.6131,3.2088
2017-01-02 03:00:00,27.89,46266.75,0.0,13892.5,45946.0,7328.0,134.5,0.0,84.25,359.0,-38.0,53.6131,3.2088
2017-01-02 04:00:00,27.73,47673.0,0.0,13840.0,47312.0,7532.0,1406.25,0.0,-52.5,1366.0,204.0,53.6131,3.2088
2017-01-02 05:00:00,31.18,51062.5,0.0,13643.25,49491.0,7549.0,3389.5,0.0,-196.75,2179.0,17.0,53.6131,3.2088
2017-01-02 06:00:00,37.99,59064.75,0.0,13507.25,55546.0,6331.0,8002.25,0.0,-136.0,6055.0,-1218.0,53.6131,3.2088
2017-01-02 07:00:00,50.98,65955.25,8.25,13269.75,61645.0,5824.0,6890.5,8.25,-237.5,6099.0,-507.0,53.6131,3.2088
2017-01-02 08:00:00,53.88,69307.25,235.0,12838.0,65569.0,6020.0,3352.0,226.75,-431.75,3924.0,196.0,53.6131,3.2088
2017-01-02 09:00:00,53.94,71268.75,1286.0,12365.25,66930.0,6368.0,1961.5,1051.0,-472.75,1361.0,348.0,53.6131,3.2088
2017-01-02 10:00:00,53.54,73169.75,2733.25,11761.5,67703.0,5935.0,1901.0,1447.25,-603.75,773.0,-433.0,53.6131,3.2088
